time,vehicle_id,vehicle_type,latitude,longitude,speed_mps
2.0,veh_046,motorcycle,12.946701,77.694347,9.844
2.0,veh_049,bus,12.940132,77.665061,3.251
3.0,veh_046,motorcycle,12.946798,77.694321,8.696
3.0,veh_049,bus,12.940078,77.665046,2.241
4.0,veh_046,motorcycle,12.94677,77.694371,8.831
4.0,veh_049,bus,12.940167,77.665083,2.771
5.0,veh_046,motorcycle,12.946922,77.694583,14.197
5.0,veh_049,bus,12.940123,77.665058,5.832
6.0,veh_000,car,12.940211,77.665087,11.431
6.0,veh_046,motorcycle,12.946885,77.694618,6.161
6.0,veh_049,bus,12.940133,77.665194,3.29
7.0,veh_000,car,12.940277,77.665104,7.225
7.0,veh_046,motorcycle,12.946881,77.69467,10.887
7.0,veh_049,bus,12.94012,77.665223,2.827
8.0,veh_000,car,12.940092,77.665257,11.563
8.0,veh_029,car,12.944203,77.677035,0.576
8.0,veh_046,motorcycle,12.946864,77.694746,8.506
8.0,veh_049,bus,12.940251,77.665175,5.025
9.0,veh_000,car,12.940237,77.665282,3.234
9.0,veh_029,car,12.944246,77.677112,4.579
9.0,veh_046,motorcycle,12.946924,77.694801,7.178
9.0,veh_049,bus,12.940228,77.665233,4.744
10.0,veh_000,car,12.940132,77.665373,8.807
10.0,veh_029,car,12.94418,77.677163,10.321
10.0,veh_046,motorcycle,12.946988,77.694909,12.947
10.0,veh_049,bus,12.940163,77.665218,5.831
11.0,veh_000,car,12.940252,77.665441,6.222
11.0,veh_029,car,12.944091,77.677115,5.106
11.0,veh_046,motorcycle,12.947003,77.694998,12.097
11.0,veh_049,bus,12.94009,77.665416,6.457
12.0,veh_000,car,12.940344,77.66551,10.683
12.0,veh_029,car,12.944166,77.677273,7.241
12.0,veh_046,motorcycle,12.946943,77.695205,9.538
12.0,veh_049,bus,12.940251,77.665443,3.777
13.0,veh_000,car,12.940272,77.665554,12.052
13.0,veh_029,car,12.944301,77.67736,3.818
13.0,veh_046,motorcycle,12.94702,77.695119,2.985
13.0,veh_049,bus,12.940222,77.665436,6.332
14.0,veh_000,car,12.940281,77.665651,5.195
14.0,veh_029,car,12.944183,77.677306,4.882
14.0,veh_046,motorcycle,12.947013,77.695255,9.169
14.0,veh_049,bus,12.940238,77.665477,6.746
15.0,veh_000,car,12.940358,77.665587,2.845
15.0,veh_029,car,12.944313,77.677363,6.15
15.0,veh_046,motorcycle,12.947033,77.695251,6.335
15.0,veh_049,bus,12.940384,77.665598,2.989
16.0,veh_000,car,12.940393,77.665742,6.672
16.0,veh_029,car,12.944376,77.67747,5.093
16.0,veh_046,motorcycle,12.947023,77.695217,3.523
16.0,veh_049,bus,12.940226,77.665538,5.267
17.0,veh_000,car,12.940397,77.665817,4.505
17.0,veh_029,car,12.944323,77.677453,9.596
17.0,veh_046,motorcycle,12.947055,77.695437,11.948
17.0,veh_049,bus,12.940297,77.66558,6.798
18.0,veh_000,car,12.940327,77.665799,1.056
18.0,veh_010,bus,12.931262,77.645552,4.981
18.0,veh_029,car,12.944233,77.677555,4.339
18.0,veh_046,motorcycle,12.947166,77.695358,4.246
18.0,veh_049,bus,12.94037,77.665622,1.993
19.0,veh_000,car,12.940422,77.665797,6.928
19.0,veh_010,bus,12.931247,77.645559,4.524
19.0,veh_029,car,12.944221,77.677654,10.815
19.0,veh_046,motorcycle,12.947162,77.695485,2.988
19.0,veh_049,bus,12.940354,77.665685,5.654
20.0,veh_000,car,12.94045,77.665926,7.883
20.0,veh_008,car,12.936185,77.65409,7.87
20.0,veh_010,bus,12.931365,77.64563,4.039
20.0,veh_029,car,12.944276,77.677569,4.202
20.0,veh_046,motorcycle,12.947187,77.695552,14.255
20.0,veh_049,bus,12.940389,77.665715,3.82
21.0,veh_000,car,12.940483,77.665957,2.242
