time,vehicle_id,longitude,latitude,angle,vehicle_type,speed_mps,position_on_lane,lane,slope
0.0,car_001,77.623238,12.917440,75.88,car,14.85,4.60,1073384217#1_0,0.00
1.0,car_001,77.623383,12.917474,75.88,car,16.17,20.77,1073384217#1_0,0.00
2.0,car_001,77.623523,12.917507,75.88,car,15.68,36.45,1073384217#1_0,0.00
3.0,car_001,77.623670,12.917539,79.72,car,16.42,52.87,1073384217#1_0,0.00
4.0,car_001,77.623819,12.917563,80.17,car,16.33,69.20,1073384217#1_0,0.00
5.0,car_001,77.623963,12.917586,80.17,car,15.90,85.10,1073384217#1_0,0.00
6.0,car_001,77.624113,12.917610,80.17,car,16.56,101.66,1073384217#1_0,0.00
7.0,car_001,77.624254,12.917632,80.17,car,15.50,117.16,1073384217#1_0,0.00
8.0,car_001,77.624402,12.917654,81.92,car,16.26,133.42,1073384217#1_0,0.00
8.0,car_002,77.623231,12.917468,75.88,car,10.78,4.60,1073384217#1_1,0.00
9.0,car_001,77.624547,12.917665,85.09,car,15.89,149.31,1073384217#1_0,0.00
9.0,car_002,77.623345,12.917495,75.88,car,12.67,17.27,1073384217#1_1,0.00
10.0,car_001,77.624698,12.917676,85.09,car,16.40,165.71,1073384217#1_0,0.00
10.0,car_002,77.623478,12.917526,75.88,car,14.87,32.14,1073384217#1_1,0.00
11.0,car_001,77.624843,12.917680,88.98,car,15.84,181.55,1073384217#1_0,0.00
11.0,car_002,77.623602,12.917555,75.88,car,13.85,45.99,1073384217#1_1,0.00
12.0,bike_001,77.623202,12.917491,75.88,motorcycle,0.76,2.10,1073384217#1_2,0.00
12.0,car_001,77.624992,12.917681,88.98,car,16.20,197.75,1073384217#1_0,0.00
12.0,car_002,77.623728,12.917577,80.16,car,13.92,59.91,1073384217#1_1,0.00
13.0,bike_001,77.623232,12.917498,75.88,motorcycle,3.36,5.46,1073384217#1_2,0.00
13.0,car_001,77.625145,12.917681,89.89,car,16.67,214.42,1073384217#1_0,0.00
13.0,car_002,77.623865,12.917599,80.16,car,15.02,74.93,1073384217#1_1,0.00
14.0,bike_001,77.623280,12.917509,75.88,motorcycle,5.29,10.76,1073384217#1_2,0.00
14.0,car_001,77.625288,12.917679,89.89,car,15.46,229.89,1073384217#1_0,0.00
14.0,car_002,77.624007,12.917593,80.17,car,15.07,90.00,1073384217#1_0,0.00
15.0,bike_001,77.623354,12.917527,75.88,motorcycle,8.29,19.05,1073384217#1_2,0.00
15.0,car_001,77.625433,12.917678,89.89,car,15.85,245.73,1073384217#1_0,0.00
15.0,car_002,77.624133,12.917613,80.17,car,13.87,103.86,1073384217#1_0,0.00
16.0,bike_001,77.623459,12.917551,75.88,motorcycle,11.74,30.79,1073384217#1_2,0.00
16.0,car_001,77.625577,12.917664,96.07,car,15.72,261.46,1073384217#1_0,0.00
16.0,car_002,77.624261,12.917633,80.17,car,14.13,117.99,1073384217#1_0,0.00
16.0,car_003,77.623231,12.917468,75.88,car,8.19,4.60,1073384217#1_1,0.00
17.0,bike_001,77.623583,12.917581,75.88,motorcycle,13.77,44.56,1073384217#1_2,0.00
17.0,car_001,77.625719,12.917648,96.07,car,15.57,277.03,1073384217#1_0,0.00
17.0,car_002,77.624394,12.917654,81.00,car,14.58,132.57,1073384217#1_0,0.00
17.0,car_003,77.623324,12.917490,75.88,car,10.29,14.89,1073384217#1_1,0.00
18.0,bike_001,77.623733,12.917578,80.16,motorcycle,15.92,60.48,1073384217#1_1,0.00
18.0,car_001,77.625869,12.917619,100.86,car,16.55,293.57,1073384217#1_0,0.00
18.0,car_002,77.624529,12.917664,85.09,car,14.79,147.37,1073384217#1_0,0.00
18.0,car_003,77.623430,12.917515,75.88,car,11.89,26.77,1073384217#1_1,0.00
19.0,bike_001,77.623865,12.917599,80.16,motorcycle,14.47,74.95,1073384217#1_1,0.00
19.0,car_001,77.626009,12.917587,105.03,car,15.75,309.32,1073384217#1_0,0.00
19.0,car_002,77.624664,12.917674,85.09,car,14.68,162.05,1073384217#1_0,0.00
19.0,car_003,77.623556,12.917544,75.88,car,14.08,40.85,1073384217#1_1,0.00
20.0,bike_001,77.624014,12.917623,80.16,motorcycle,16.41,91.35,1073384217#1_1,0.00
20.0,car_001,77.626148,12.917549,105.03,car,15.63,324.95,1073384217#1_0,0.00
20.0,car_002,77.624797,12.917680,88.98,car,14.46,176.51,1073384217#1_0,0.00
20.0,car_003,77.623697,12.917573,80.16,car,15.66,56.52,1073384217#1_1,0.00
21.0,bike_001,77.624154,12.917646,80.16,motorcycle,15.42,106.78,1073384217#1_1,0.00
21.0,car_001,77.626293,12.917509,105.03,car,16.43,341.38,1073384217#1_0,0.00
21.0,car_002,77.624935,12.917681,88.98,car,15.03,191.54,1073384217#1_0,0.00
21.0,car_003,77.623844,12.917596,80.16,car,16.14,72.66,1073384217#1_1,0.00
22.0,bike_001,77.624301,12.917669,80.16,motorcycle,16.11,122.88,1073384217#1_1,0.00
22.0,car_001,77.626430,12.917472,105.03,car,15.41,356.79,1073384217#1_0,0.00
22.0,car_002,77.625073,12.917681,89.89,car,14.97,206.51,1073384217#1_0,0.00
22.0,car_003,77.623988,12.917619,80.16,car,15.79,88.45,1073384217#1_1,0.00
23.0,bike_001,77.624432,12.917686,85.09,motorcycle,14.45,137.33,1073384217#1_1,0.00
23.0,car_001,77.626574,12.917432,105.03,car,16.26,373.05,1073384217#1_0,0.00
23.0,car_002,77.625211,12.917680,89.89,car,15.05,221.56,1073384217#1_0,0.00
23.0,car_003,77.624128,12.917641,80.16,car,15.50,103.95,1073384217#1_1,0.00
24.0,bike_001,77.624570,12.917696,85.09,motorcycle,14.94,152.27,1073384217#1_1,0.00
24.0,car_001,77.626716,12.917393,105.03,car,16.03,389.08,1073384217#1_0,0.00
24.0,car_002,77.625341,12.917679,89.89,car,14.18,235.74,1073384217#1_0,0.00
24.0,car_003,77.624279,12.917665,80.16,car,16.51,120.47,1073384217#1_1,0.00
24.0,car_004,77.623225,12.917496,75.88,car,9.83,4.60,1073384217#1_2,0.00
25.0,bike_001,77.624707,12.917706,85.09,motorcycle,14.94,167.21,1073384217#1_1,0.00
25.0,car_001,77.626853,12.917354,106.23,car,15.59,404.67,1073384217#1_0,0.00
25.0,car_002,77.625475,12.917676,92.51,car,14.49,250.23,1073384217#1_0,0.00
25.0,car_003,77.624429,12.917686,85.09,car,16.53,137.00,1073384217#1_1,0.00
25.0,car_004,77.623328,12.917520,75.88,car,11.50,16.10,1073384217#1_2,0.00
26.0,bike_001,77.624854,12.917709,88.98,motorcycle,15.95,183.16,1073384217#1_1,0.00
26.0,car_001,77.626990,12.917314,106.23,car,15.46,420.13,1073384217#1_0,0.00
26.0,car_002,77.625609,12.917661,96.07,car,14.77,265.00,1073384217#1_0,0.00
26.0,car_003,77.624579,12.917697,85.09,car,16.28,153.28,1073384217#1_1,0.00
26.0,car_004,77.623443,12.917548,75.88,car,12.88,28.98,1073384217#1_2,0.00
27.0,bike_001,77.624989,12.917710,88.98,motorcycle,14.75,197.91,1073384217#1_1,0.00
27.0,car_001,77.627133,12.917271,106.23,car,16.33,436.46,1073384217#1_0,0.00
27.0,car_002,77.625747,12.917643,98.45,car,15.11,280.10,1073384217#1_0,0.00
27.0,car_003,77.624724,12.917707,85.09,car,15.80,169.08,1073384217#1_1,0.00
27.0,car_004,77.623582,12.917580,75.88,car,15.48,44.46,1073384217#1_2,0.00
28.0,bike_001,77.625141,12.917709,89.89,motorcycle,16.44,214.35,1073384217#1_1,0.00
28.0,bike_002,77.623209,12.917463,75.88,motorcycle,0.52,2.10,1073384217#1_1,0.00
28.0,car_001,77.627279,12.917228,106.23,car,16.54,453.01,1073384217#1_0,0.00
28.0,car_002,77.625875,12.917618,100.86,car,14.16,294.26,1073384217#1_0,0.00
28.0,car_003,77.624878,12.917680,88.98,car,16.26,185.33,1073384217#1_0,0.00
28.0,car_004,77.623725,12.917606,80.16,car,15.73,60.20,1073384217#1_2,0.00
29.0,bike_001,77.625292,12.917708,89.89,motorcycle,16.37,230.73,1073384217#1_1,0.00
29.0,bike_002,77.623227,12.917467,75.88,motorcycle,2.05,4.15,1073384217#1_1,0.00
29.0,car_001,77.627422,12.917186,106.23,car,16.22,469.23,1073384217#1_0,0.00
29.0,car_002,77.626007,12.917587,105.03,car,14.83,309.09,1073384217#1_0,0.00
29.0,car_003,77.625022,12.917682,88.98,car,15.67,201.00,1073384217#1_0,0.00
29.0,car_004,77.623871,12.917630,80.16,car,16.05,76.25,1073384217#1_2,0.00
30.0,bike_001,77.625435,12.917707,89.89,motorcycle,15.56,246.29,1073384217#1_1,0.00
30.0,bike_002,77.623257,12.917474,75.88,motorcycle,3.30,7.44,1073384217#1_1,0.00
30.0,car_001,77.627562,12.917144,106.23,car,16.00,485.23,1073384217#1_0,0.00
30.0,car_002,77.626134,12.917553,105.03,car,14.34,323.43,1073384217#1_0,0.00
30.0,car_003,77.625170,12.917680,89.89,car,16.10,217.10,1073384217#1_0,0.00
30.0,car_004,77.624024,12.917625,80.16,car,16.26,92.51,1073384217#1_1,0.00
31.0,bike_001,77.625567,12.917694,96.07,motorcycle,14.44,260.73,1073384217#1_1,0.00
31.0,bike_002,77.623305,12.917485,75.88,motorcycle,5.32,12.76,1073384217#1_1,0.00
31.0,car_001,77.627708,12.917100,106.23,car,16.58,501.80,1073384217#1_0,0.00
31.0,car_002,77.626259,12.917519,105.03,car,14.01,337.45,1073384217#1_0,0.00
31.0,car_003,77.625321,12.917679,89.89,car,16.40,233.50,1073384217#1_0,0.00
31.0,car_004,77.624169,12.917648,80.16,car,15.94,108.45,1073384217#1_1,0.00
32.0,bike_001,77.625706,12.917679,96.07,motorcycle,15.17,275.90,1073384217#1_1,0.00
32.0,bike_002,77.623375,12.917502,75.88,motorcycle,7.85,20.61,1073384217#1_1,0.00
32.0,car_001,77.627855,12.917057,106.23,car,16.63,518.43,1073384217#1_0,0.00
32.0,car_002,77.626388,12.917483,105.03,car,14.67,352.12,1073384217#1_0,0.00
32.0,car_003,77.625468,12.917677,91.58,car,16.05,249.55,1073384217#1_0,0.00
32.0,car_004,77.624320,12.917672,80.16,car,16.63,125.07,1073384217#1_1,0.00
32.0,car_005,77.623225,12.917496,75.88,car,12.39,4.60,1073384217#1_2,0.00
33.0,bike_001,77.625841,12.917654,100.86,motorcycle,14.94,290.84,1073384217#1_1,0.00
33.0,bike_002,77.623469,12.917524,75.88,motorcycle,10.53,31.14,1073384217#1_1,0.00
33.0,car_001,77.627995,12.917015,106.23,car,15.95,534.38,1073384217#1_0,0.00
33.0,car_002,77.626521,12.917447,105.03,car,14.97,367.09,1073384217#1_0,0.00
33.0,car_003,77.625609,12.917661,96.07,car,15.45,265.00,1073384217#1_0,0.00
33.0,car_004,77.624470,12.917689,85.09,car,16.33,141.40,1073384217#1_1,0.00
33.0,car_005,77.623356,12.917527,75.88,car,14.67,19.27,1073384217#1_2,0.00
34.0,bike_001,77.625990,12.917622,105.03,motorcycle,16.56,307.40,1073384217#1_1,0.00
34.0,bike_002,77.623579,12.917520,75.88,motorcycle,11.63,42.77,1073384217#1_0,0.00
34.0,car_001,77.628136,12.916974,106.23,car,15.99,550.37,1073384217#1_0,0.00
34.0,car_002,77.626650,12.917411,105.03,car,14.54,381.63,1073384217#1_0,0.00
34.0,car_003,77.625755,12.917642,99.33,car,15.93,280.94,1073384217#1_0,0.00
34.0,car_004,77.624615,12.917699,85.09,car,15.86,157.26,1073384217#1_1,0.00
34.0,car_005,77.623500,12.917561,75.88,car,16.00,35.26,1073384217#1_2,0.00
35.0,bike_001,77.626119,12.917587,105.03,motorcycle,14.49,321.89,1073384217#1_1,0.00
35.0,bike_002,77.623682,12.917541,80.17,motorcycle,11.37,54.14,1073384217#1_0,0.00
35.0,car_001,77.628279,12.916931,106.23,car,16.29,566.66,1073384217#1_0,0.00
35.0,car_002,77.626777,12.917376,105.03,car,14.36,395.99,1073384217#1_0,0.00
35.0,car_003,77.625897,12.917613,100.86,car,15.79,296.73,1073384217#1_0,0.00
35.0,car_004,77.624758,12.917709,87.14,car,15.57,172.83,1073384217#1_1,0.00
35.0,car_005,77.623643,12.917593,78.00,car,15.90,51.17,1073384217#1_2,0.00
36.0,bike_001,77.626258,12.917549,105.03,motorcycle,15.72,337.61,1073384217#1_1,0.00
36.0,bike_002,77.623784,12.917557,80.17,motorcycle,11.26,65.40,1073384217#1_0,0.00
36.0,car_001,77.628423,12.916891,103.44,car,16.29,582.95,1073384217#1_0,0.00
36.0,car_002,77.626900,12.917340,106.23,car,13.99,409.98,1073384217#1_0,0.00
36.0,car_003,77.626038,12.917579,105.03,car,15.87,312.60,1073384217#1_0,0.00
36.0,car_004,77.624915,12.917681,88.98,car,16.53,189.35,1073384217#1_0,0.00
36.0,car_005,77.623794,12.917617,80.16,car,16.63,67.80,1073384217#1_2,0.00
37.0,bike_001,77.626392,12.917512,105.03,motorcycle,15.14,352.75,1073384217#1_1,0.00
37.0,bike_002,77.623888,12.917574,80.17,motorcycle,11.44,76.84,1073384217#1_0,0.00
37.0,car_001,77.628571,12.916855,103.14,car,16.59,599.55,1073384217#1_0,0.00
37.0,car_002,77.627025,12.917303,106.23,car,14.17,424.15,1073384217#1_0,0.00
37.0,car_003,77.626178,12.917541,105.03,car,15.79,328.38,1073384217#1_0,0.00
37.0,car_004,77.625060,12.917681,89.81,car,15.74,205.10,1073384217#1_0,0.00
37.0,car_005,77.623944,12.917641,80.16,car,16.54,84.34,1073384217#1_2,0.00
38.0,bike_001,77.626539,12.917472,105.03,motorcycle,16.58,369.34,1073384217#1_1,0.00
38.0,bike_002,77.623995,12.917591,80.17,motorcycle,11.77,88.62,1073384217#1_0,0.00
38.0,car_001,77.628714,12.916840,94.28,car,15.59,615.13,1073384217#1_0,0.00
38.0,car_002,77.627148,12.917267,106.23,car,13.93,438.08,1073384217#1_0,0.00
38.0,car_003,77.626315,12.917503,105.03,car,15.46,343.84,1073384217#1_0,0.00
38.0,car_004,77.625205,12.917680,89.89,car,15.81,220.91,1073384217#1_0,0.00
38.0,car_005,77.624090,12.917665,80.16,car,16.03,100.37,1073384217#1_2,0.00
39.0,bike_001,77.626684,12.917432,105.03,motorcycle,16.25,385.59,1073384217#1_1,0.00
39.0,bike_002,77.624091,12.917606,80.17,motorcycle,10.56,99.18,1073384217#1_0,0.00
39.0,car_001,77.628858,12.916828,94.23,car,15.75,630.89,1073384217#1_0,0.00
39.0,car_002,77.627274,12.917229,106.23,car,14.37,452.45,1073384217#1_0,0.00
39.0,car_003,77.626454,12.917465,105.03,car,15.72,359.57,1073384217#1_0,0.00
39.0,car_004,77.625351,12.917679,89.89,car,15.91,236.82,1073384217#1_0,0.00
39.0,car_005,77.624240,12.917659,80.16,car,15.84,116.21,1073384217#1_1,0.00
40.0,bike_001,77.626812,12.917396,106.08,motorcycle,14.50,400.09,1073384217#1_1,0.00
40.0,bike_002,77.624184,12.917621,80.17,motorcycle,10.34,109.52,1073384217#1_0,0.00
40.0,car_001,77.629006,12.916816,94.23,car,16.14,647.03,1073384217#1_0,0.00
40.0,car_002,77.627402,12.917191,106.23,car,14.58,467.03,1073384217#1_0,0.00
40.0,car_003,77.626591,12.917428,105.03,car,15.37,374.94,1073384217#1_0,0.00
40.0,car_004,77.625495,12.917674,95.53,car,15.60,252.42,1073384217#1_0,0.00
40.0,car_005,77.624383,12.917682,80.16,car,15.71,131.93,1073384217#1_1,0.00
40.0,car_006,77.623225,12.917496,75.88,car,3.42,4.60,1073384217#1_2,0.00
41.0,bike_001,77.626946,12.917357,106.23,motorcycle,15.22,415.31,1073384217#1_1,0.00
41.0,bike_002,77.624277,12.917636,80.17,motorcycle,10.22,119.74,1073384217#1_0,0.00
41.0,car_001,77.629153,12.916804,94.23,car,16.01,663.05,1073384217#1_0,0.00
41.0,car_002,77.627535,12.917152,106.23,car,15.07,482.10,1073384217#1_0,0.00
41.0,car_003,77.626736,12.917388,105.03,car,16.45,391.39,1073384217#1_0,0.00
41.0,car_004,77.625638,12.917657,96.07,car,15.74,268.16,1073384217#1_0,0.00
41.0,car_005,77.624536,12.917693,85.09,car,16.66,148.59,1073384217#1_1,0.00
41.0,car_006,77.623272,12.917507,75.88,car,5.33,9.93,1073384217#1_2,0.00
42.0,bike_001,77.627075,12.917319,106.23,motorcycle,14.60,429.91,1073384217#1_1,0.00
42.0,bike_002,77.624372,12.917651,80.17,motorcycle,10.39,130.13,1073384217#1_0,0.00
42.0,car_001,77.629299,12.916792,93.87,car,15.93,0.62,1534247766#0_0,0.00
