timestamp,vehicle_id,vehicle_type,application,selected_channel,confidence,spatial_attention,temporal_attention,freq_attention,app_attention,throughput_mbps,latency_ms,pdr,sinr_db,reward
1.0,0,car,cooperative_awareness,3,0.175,0.245,0.253,0.234,0.268,171.599,15.02,0.9998,25.82,0.9138
2.0,0,car,cooperative_awareness,1,0.174,0.235,0.242,0.287,0.236,100.393,15.04,0.9999,30.22,0.7211
3.0,0,car,cooperative_awareness,3,0.178,0.252,0.256,0.265,0.227,211.949,15.02,1.0,31.9,1.02
4.0,0,car,cooperative_awareness,1,0.174,0.235,0.242,0.287,0.236,0.001,2787.74,0.0,-53.5,-0.4
4.0,1,car,cooperative_awareness,1,0.173,0.228,0.239,0.293,0.241,0.001,2787.74,0.0,-51.17,-0.4
5.0,0,car,cooperative_awareness,3,0.179,0.245,0.251,0.258,0.246,0.003,1401.37,0.0,-48.48,-0.4
5.0,1,car,cooperative_awareness,3,0.178,0.232,0.246,0.256,0.266,0.003,1401.37,0.0,-51.0,-0.4
6.0,0,car,cooperative_awareness,1,0.183,0.22,0.225,0.269,0.287,0.001,2787.74,0.0,-41.63,-0.4
6.0,1,car,cooperative_awareness,1,0.176,0.223,0.236,0.286,0.255,0.001,2787.74,0.0,-60.0,-0.4
7.0,0,car,cooperative_awareness,3,0.178,0.251,0.257,0.265,0.227,0.003,1393.04,0.0,-49.75,-0.3833
7.0,1,car,cooperative_awareness,1,0.179,0.221,0.234,0.244,0.302,0.001,2774.4,0.0,-49.79,-0.3666
7.0,2,car,cooperative_awareness,3,0.177,0.257,0.223,0.255,0.265,0.003,1393.05,0.0,-58.06,-0.3833
8.0,0,car,cooperative_awareness,1,0.182,0.225,0.23,0.251,0.294,0.001,2787.74,0.0,-48.81,-0.4
8.0,1,car,cooperative_awareness,1,0.182,0.218,0.23,0.254,0.298,0.001,2787.74,0.0,-58.33,-0.4
8.0,2,car,cooperative_awareness,1,0.176,0.253,0.221,0.265,0.26,0.001,2787.74,0.0,-60.0,-0.4
9.0,0,car,cooperative_awareness,2,0.18,0.228,0.233,0.241,0.298,0.002,2399.91,0.0,-39.37,-0.3666
9.0,1,car,cooperative_awareness,3,0.177,0.244,0.257,0.269,0.23,0.003,1393.04,0.0,-46.84,-0.3833
9.0,2,car,cooperative_awareness,3,0.177,0.269,0.235,0.267,0.229,0.003,1393.05,0.0,-60.0,-0.3833
10.0,0,car,cooperative_awareness,1,0.185,0.225,0.232,0.249,0.294,0.001,2787.73,0.0,-60.0,-0.4
10.0,1,car,cooperative_awareness,1,0.175,0.234,0.247,0.271,0.247,0.059,82.31,0.0001,-23.84,-0.3336
10.0,2,car,cooperative_awareness,1,0.178,0.254,0.222,0.263,0.261,0.001,2787.75,0.0,-60.0,-0.4
10.0,3,car,cooperative_awareness,1,0.178,0.231,0.237,0.267,0.264,0.004,1001.59,0.0,-35.51,-0.4
11.0,0,car,cooperative_awareness,3,0.178,0.245,0.25,0.258,0.247,0.003,1394.81,0.0,-42.17,-0.3875
11.0,1,car,cooperative_awareness,1,0.179,0.221,0.232,0.244,0.303,0.002,2174.74,0.0,-38.94,-0.3625
11.0,2,car,cooperative_awareness,3,0.178,0.257,0.223,0.255,0.265,0.003,1394.82,0.0,-60.0,-0.3875
11.0,3,car,cooperative_awareness,3,0.176,0.246,0.25,0.271,0.232,0.167,32.39,0.0002,-22.36,-0.2135
12.0,0,car,cooperative_awareness,1,0.176,0.235,0.241,0.267,0.257,0.001,2781.17,0.0,-55.62,-0.3875
12.0,1,car,cooperative_awareness,3,0.174,0.233,0.245,0.277,0.245,0.003,1387.3,0.0,-45.51,-0.3625
12.0,2,car,cooperative_awareness,1,0.176,0.252,0.22,0.269,0.259,0.001,2781.18,0.0,-58.94,-0.3875
12.0,3,car,cooperative_awareness,1,0.175,0.23,0.234,0.274,0.263,0.007,612.73,0.0,-33.38,-0.3875
13.0,0,car,cooperative_awareness,3,0.177,0.252,0.259,0.262,0.227,11.887,15.34,0.1513,-2.93,-0.0067
13.0,1,car,cooperative_awareness,3,0.176,0.245,0.258,0.266,0.231,0.096,56.81,0.0001,-24.79,-0.2872
13.0,2,car,cooperative_awareness,3,0.176,0.258,0.226,0.252,0.265,0.003,1401.38,0.0,-60.0,-0.4
13.0,3,car,cooperative_awareness,3,0.176,0.24,0.245,0.261,0.253,0.017,248.05,0.0,-32.25,-0.3999
13.0,4,motorcycle,cooperative_awareness,3,0.176,0.248,0.241,0.26,0.252,3.687,16.09,0.0234,-8.65,-0.1115
14.0,0,car,cooperative_awareness,1,0.174,0.235,0.241,0.288,0.237,0.389,19.88,0.0021,-15.63,-0.156
14.0,1,car,cooperative_awareness,3,0.172,0.234,0.245,0.3,0.221,0.157,26.08,0.0002,-22.63,-0.1748
14.0,2,car,cooperative_awareness,1,0.174,0.252,0.218,0.29,0.239,0.001,2782.35,0.0,-60.0,-0.39
14.0,3,car,cooperative_awareness,1,0.173,0.23,0.234,0.294,0.242,0.095,51.73,0.0002,-21.8,-0.2521
14.0,4,motorcycle,cooperative_awareness,1,0.174,0.237,0.23,0.292,0.24,1.066,13.35,0.0099,-11.15,-0.1171
15.0,0,car,cooperative_awareness,3,0.177,0.246,0.251,0.255,0.248,3.289,16.22,0.0196,-9.18,-0.1228
15.0,1,car,cooperative_awareness,3,0.177,0.239,0.251,0.259,0.252,0.028,160.3,0.0,-30.2,-0.3999
15.0,2,car,cooperative_awareness,3,0.176,0.271,0.234,0.265,0.23,0.003,1401.38,0.0,-46.79,-0.4
15.0,3,car,cooperative_awareness,3,0.176,0.24,0.245,0.261,0.253,2.383,16.68,0.0118,-10.65,-0.1253
15.0,4,motorcycle,cooperative_awareness,3,0.175,0.251,0.231,0.263,0.255,1.941,17.06,0.0086,-11.57,-0.1346
16.0,0,car,cooperative_awareness,3,0.172,0.241,0.246,0.296,0.218,3.669,2.76,0.0233,-8.68,-0.0464
16.0,1,car,cooperative_awareness,3,0.172,0.233,0.247,0.299,0.22,0.076,54.15,0.0001,-25.78,-0.2536
16.0,2,car,cooperative_awareness,1,0.177,0.247,0.215,0.284,0.254,0.001,2779.41,0.0,-60.0,-0.3833
16.0,3,car,cooperative_awareness,1,0.176,0.225,0.229,0.289,0.257,0.052,83.74,0.0001,-24.43,-0.3228
16.0,4,motorcycle,cooperative_awareness,1,0.173,0.241,0.217,0.297,0.245,0.067,66.69,0.0001,-23.34,-0.2832
16.0,5,car,cooperative_awareness,1,0.173,0.23,0.23,0.296,0.244,0.011,359.36,0.0,-31.04,-0.3833
17.0,0,car,cooperative_awareness,3,0.176,0.252,0.257,0.264,0.227,1.429,13.22,0.0053,-12.94,-0.1266
17.0,1,car,cooperative_awareness,3,0.175,0.245,0.256,0.268,0.231,0.016,252.86,0.0,-32.43,-0.3916
