timestamp,vehicle_id,channel,sinr_db,interference_dbm,latency_ms,deadline_ms,pdr,reward
4.0,0,1,-53.5,-145.96,2787.74,50.0,0.0,-0.4
4.0,1,1,-51.17,-137.96,2787.74,50.0,0.0,-0.4
5.0,0,3,-48.48,-149.33,1401.37,50.0,0.0,-0.4
5.0,1,3,-51.0,-139.12,1401.37,50.0,0.0,-0.4
6.0,0,1,-41.63,-143.21,2787.74,50.0,0.0,-0.4
6.0,1,1,-60.0,-146.26,2787.74,50.0,0.0,-0.4
7.0,0,3,-49.75,-141.94,1393.04,50.0,0.0,-0.3833
7.0,1,1,-49.79,-150.0,2774.4,50.0,0.0,-0.3666
7.0,2,3,-58.06,-142.24,1393.05,50.0,0.0,-0.3833
8.0,0,1,-48.81,-150.0,2787.74,50.0,0.0,-0.4
8.0,1,1,-58.33,-144.1,2787.74,50.0,0.0,-0.4
8.0,2,1,-60.0,-150.0,2787.74,50.0,0.0,-0.4
9.0,0,2,-39.37,-150.0,2399.91,50.0,0.0,-0.3666
9.0,1,3,-46.84,-150.0,1393.04,50.0,0.0,-0.3833
9.0,2,3,-60.0,-150.0,1393.05,50.0,0.0,-0.3833
10.0,0,1,-60.0,-134.62,2787.73,50.0,0.0,-0.4
10.0,1,1,-23.84,-129.77,82.31,50.0,0.0001,-0.3336
10.0,2,1,-60.0,-150.0,2787.75,50.0,0.0,-0.4
10.0,3,1,-35.51,-124.15,1001.59,50.0,0.0,-0.4
11.0,0,3,-42.17,-148.46,1394.81,50.0,0.0,-0.3875
11.0,1,1,-38.94,-150.0,2174.74,50.0,0.0,-0.3625
11.0,2,3,-60.0,-145.37,1394.82,50.0,0.0,-0.3875
11.0,3,3,-22.36,-138.52,32.39,50.0,0.0002,-0.2135
12.0,0,1,-55.62,-142.88,2781.17,50.0,0.0,-0.3875
12.0,1,3,-45.51,-150.0,1387.3,50.0,0.0,-0.3625
12.0,2,1,-58.94,-144.53,2781.18,50.0,0.0,-0.3875
12.0,3,1,-33.38,-150.0,612.73,50.0,0.0,-0.3875
13.0,0,3,-2.93,-114.1,15.34,50.0,0.1513,-0.0067
13.0,1,3,-24.79,-126.85,56.81,50.0,0.0001,-0.2872
13.0,2,3,-60.0,-150.0,1401.38,50.0,0.0,-0.4
13.0,3,3,-32.25,-117.45,248.05,50.0,0.0,-0.3999
13.0,4,3,-8.65,-102.53,16.09,50.0,0.0234,-0.1115
14.0,0,1,-15.63,-114.18,19.88,50.0,0.0021,-0.156
14.0,1,3,-22.63,-150.0,26.08,50.0,0.0002,-0.1748
14.0,2,1,-60.0,-149.27,2782.35,50.0,0.0,-0.39
14.0,3,1,-21.8,-145.18,51.73,50.0,0.0002,-0.2521
14.0,4,1,-11.15,-108.12,13.35,50.0,0.0099,-0.1171
15.0,0,3,-9.18,-94.36,16.22,50.0,0.0196,-0.1228
15.0,1,3,-30.2,-121.48,160.3,50.0,0.0,-0.3999
15.0,2,3,-46.79,-148.41,1401.38,50.0,0.0,-0.4
15.0,3,3,-10.65,-119.84,16.68,50.0,0.0118,-0.1253
15.0,4,3,-11.57,-107.94,17.06,50.0,0.0086,-0.1346
16.0,0,3,-8.68,-142.41,2.76,50.0,0.0233,-0.0464
16.0,1,3,-25.78,-145.81,54.15,50.0,0.0001,-0.2536
16.0,2,1,-60.0,-150.0,2779.41,50.0,0.0,-0.3833
16.0,3,1,-24.43,-137.12,83.74,50.0,0.0001,-0.3228
16.0,4,1,-23.34,-143.67,66.69,50.0,0.0001,-0.2832
16.0,5,1,-31.04,-123.89,359.36,50.0,0.0,-0.3833
17.0,0,3,-12.94,-110.78,13.22,50.0,0.0053,-0.1266
17.0,1,3,-32.43,-114.99,252.86,50.0,0.0,-0.3916
17.0,2,3,-52.83,-150.0,1396.8,50.0,0.0,-0.3916
17.0,3,4,-24.51,-150.0,39.64,50.0,0.0001,-0.2098
17.0,4,3,-0.88,-106.08,10.65,50.0,0.2671,0.075
17.0,5,3,-28.46,-106.11,107.81,50.0,0.0,-0.3866
18.0,0,1,-10.07,-111.93,9.62,50.0,0.0144,-0.0938
18.0,1,1,-19.25,-122.38,30.14,50.0,0.0006,-0.1892
18.0,2,3,-60.0,-150.0,1388.05,50.0,0.0,-0.3666
18.0,3,3,-33.11,-145.48,285.11,50.0,0.0,-0.3666
18.0,4,1,-19.26,-111.83,30.21,50.0,0.0006,-0.1894
18.0,5,1,-30.44,-123.37,313.39,50.0,0.0,-0.3833
19.0,0,3,-10.9,-100.58,12.79,50.0,0.0108,-0.1191
19.0,1,3,-23.51,-107.38,42.16,50.0,0.0001,-0.2462
19.0,2,3,-60.0,-146.49,1397.4,50.0,0.0,-0.3928
19.0,3,3,-22.17,-119.33,33.94,50.0,0.0002,-0.221
19.0,4,3,-11.57,-111.36,13.08,50.0,0.0086,-0.118
19.0,5,3,-33.08,-124.74,292.78,50.0,0.0,-0.3928
19.0,6,1,-42.31,-150.0,2773.04,50.0,0.0,-0.3571
20.0,0,3,-12.48,-131.02,7.42,50.0,0.0063,-0.0988
20.0,1,3,-26.49,-108.49,66.69,50.0,0.0,-0.2953
20.0,2,1,-55.5,-150.0,2775.5,50.0,0.0,-0.3714
20.0,3,3,-24.72,-116.7,46.03,50.0,0.0001,-0.2439
20.0,4,1,-9.73,-150.0,5.5,50.0,0.0162,-0.0711
20.0,5,3,-18.46,-118.2,14.68,50.0,0.0008,-0.1487
20.0,6,1,-45.97,-150.0,2775.49,50.0,0.0,-0.3714
21.0,0,1,-10.6,-150.0,6.08,50.0,0.012,-0.0788
21.0,1,3,-12.65,-112.91,5.38,50.0,0.0059,-0.0888
21.0,2,1,-60.0,-150.0,2775.5,50.0,0.0,-0.3714
21.0,3,6,-60.0,-150.0,69.63,50.0,0.0,-0.2962
21.0,4,3,-6.99,-143.56,3.52,50.0,0.0412,-0.0333
21.0,5,3,-18.1,-117.79,11.78,50.0,0.0009,-0.1339
21.0,6,1,-48.38,-145.93,2775.49,50.0,0.0,-0.3714
22.0,0,1,-5.1,-150.0,1.26,50.0,0.077,0.0043
22.0,1,3,-33.29,-118.97,306.96,50.0,0.0,-0.3937
22.0,2,3,-56.37,-146.83,1397.87,50.0,0.0,-0.3937
22.0,3,3,-23.67,-111.5,43.84,50.0,0.0001,-0.2494
22.0,4,3,-13.62,-134.61,14.74,50.0,0.0042,-0.1362
22.0,5,3,-22.04,-115.75,33.74,50.0,0.0002,-0.2208
22.0,6,3,-36.86,-133.54,683.71,50.0,0.0,-0.3937
22.0,7,3,-43.22,-129.77,1397.85,50.0,0.0,-0.3937
23.0,0,1,3.94,-136.77,6.08,50.0,0.6636,0.2625
23.0,1,1,-24.34,-121.25,81.24,50.0,0.0001,-0.3152
23.0,2,3,-60.0,-148.22,1388.49,50.0,0.0,-0.3687
23.0,3,1,-26.6,-122.81,132.77,50.0,0.0,-0.3642
23.0,4,3,-0.55,-139.66,2.33,50.0,0.2907,0.1303
23.0,5,3,-23.23,-138.15,31.32,50.0,0.0001,-0.1971
23.0,6,1,-42.27,-142.12,2778.59,50.0,0.0,-0.3812
23.0,7,1,-30.85,-137.1,342.84,50.0,0.0,-0.3812
24.0,0,3,-14.05,-105.73,9.45,50.0,0.0036,-0.1188
24.0,1,1,-19.28,-127.56,25.71,50.0,0.0006,-0.1659
24.0,2,3,-60.0,-140.41,1392.24,50.0,0.0,-0.3812
24.0,3,1,-31.33,-117.74,378.46,50.0,0.0,-0.3687
24.0,4,3,-17.68,-106.2,14.05,50.0,0.001,-0.1486
24.0,5,1,-35.86,-113.8,1071.6,50.0,0.0,-0.3687
24.0,6,3,-45.68,-135.08,1392.23,50.0,0.0,-0.3812
24.0,7,3,-45.1,-140.08,1392.23,50.0,0.0,-0.3812
25.0,1,3,-25.03,-127.29,50.84,50.0,0.0001,-0.2599
25.0,2,1,-60.0,-150.0,2774.41,50.0,0.0,-0.3666
25.0,3,1,-24.02,-135.37,71.7,50.0,0.0001,-0.2799
25.0,5,3,-19.36,-124.84,18.71,50.0,0.0006,-0.1664
25.0,6,3,-36.92,-131.11,689.55,50.0,0.0,-0.3833
25.0,7,3,-40.58,-125.08,1393.03,50.0,0.0,-0.3833
25.0,8,1,-33.6,-134.26,637.03,50.0,0.0,-0.3666
26.0,1,1,-29.73,-130.11,262.55,50.0,0.0,-0.3653
26.0,2,1,-60.0,-150.0,2774.41,50.0,0.0,-0.3666
26.0,3,3,-22.35,-130.28,28.51,50.0,0.0002,-0.196
26.0,5,1,-22.54,-134.0,51.52,50.0,0.0002,-0.2321
26.0,6,3,-43.46,-125.97,1391.0,50.0,0.0,-0.3778
26.0,7,2,-32.65,-150.0,511.14,50.0,0.0,-0.3555
26.0,8,3,-31.8,-129.16,214.49,50.0,0.0,-0.3777
27.0,1,1,-18.85,-146.9,23.06,50.0,0.0007,-0.1562
27.0,2,1,-60.0,-150.0,2774.41,50.0,0.0,-0.3666
27.0,3,3,-20.24,-120.78,21.4,50.0,0.0004,-0.1764
27.0,5,3,-21.7,-126.57,27.27,50.0,0.0002,-0.1957
27.0,6,3,-39.12,-136.56,1138.32,50.0,0.0,-0.3833
27.0,7,3,-33.9,-133.05,347.4,50.0,0.0,-0.3833
27.0,8,3,-29.8,-127.06,139.22,50.0,0.0,-0.3823
28.0,1,3,-22.69,-113.34,28.23,50.0,0.0002,-0.1894
28.0,2,1,-52.29,-139.83,2778.13,50.0,0.0,-0.38
28.0,3,1,-19.48,-135.49,30.15,50.0,0.0005,-0.187
28.0,5,3,-23.31,-120.91,32.16,50.0,0.0001,-0.2004
28.0,6,3,-43.12,-139.02,1388.77,50.0,0.0,-0.37
28.0,7,1,-35.43,-124.99,973.22,50.0,0.0,-0.38
28.0,8,3,-37.84,-126.68,844.85,50.0,0.0,-0.37
28.0,9,1,-34.31,-128.61,753.58,50.0,0.0,-0.38
29.0,1,3,-21.75,-113.42,30.4,50.0,0.0002,-0.2089
29.0,2,3,-41.46,-142.62,1395.97,50.0,0.0,-0.39
29.0,3,1,-19.29,-150.0,24.27,50.0,0.0006,-0.1543
29.0,5,3,-34.14,-117.04,369.24,50.0,0.0,-0.39
29.0,6,3,-35.21,-129.11,469.59,50.0,0.0,-0.39
29.0,7,3,-34.1,-115.37,365.97,50.0,0.0,-0.39
29.0,8,3,-34.09,-123.07,365.04,50.0,0.0,-0.39
29.0,9,1,-40.27,-150.0,2773.33,50.0,0.0,-0.36
30.0,1,3,-17.85,-140.7,9.12,50.0,0.001,-0.1157
30.0,2,1,-38.9,-127.49,2160.49,50.0,0.0,-0.385
30.0,3,1,-32.73,-130.72,526.87,50.0,0.0,-0.385
30.0,5,1,-21.02,-124.1,42.52,50.0,0.0003,-0.2247
30.0,6,1,-45.69,-135.34,2780.08,50.0,0.0,-0.385
30.0,7,1,-28.92,-132.58,223.53,50.0,0.0,-0.3795
30.0,8,1,-24.4,-127.57,83.9,50.0,0.0001,-0.3246
30.0,9,1,-40.9,-139.82,2780.08,50.0,0.0,-0.385
31.0,1,1,-18.35,-128.26,19.58,50.0,0.0008,-0.1391
31.0,10,3,-10.15,-138.47,11.55,50.0,0.014,-0.1019
31.0,2,3,-40.47,-125.41,1396.41,50.0,0.0,-0.3909
31.0,3,3,-17.76,-118.79,18.4,50.0,0.001,-0.1647
31.0,5,1,-18.99,-134.33,22.59,50.0,0.0006,-0.1485
31.0,6,3,-43.83,-130.89,1396.41,50.0,0.0,-0.3909
31.0,7,3,-38.3,-130.6,947.79,50.0,0.0,-0.3909
31.0,8,3,-29.02,-121.13,120.75,50.0,0.0,-0.3859
31.0,9,3,-19.15,-130.1,21.51,50.0,0.0006,-0.1784
32.0,1,3,-40.04,-116.23,1388.35,50.0,0.0,-0.3682
32.0,10,3,-21.15,-150.0,20.11,50.0,0.0003,-0.1634
32.0,2,1,-28.63,-134.04,208.55,50.0,0.0,-0.3749
32.0,3,1,-31.56,-133.06,403.43,50.0,0.0,-0.3818
32.0,5,3,-14.19,-121.67,5.69,50.0,0.0034,-0.0961
32.0,6,1,-46.94,-131.88,2778.81,50.0,0.0,-0.3818
32.0,7,3,-27.47,-132.69,79.52,50.0,0.0,-0.3144
32.0,8,1,-28.15,-123.82,187.36,50.0,0.0,-0.3725
32.0,9,1,-28.63,-132.82,208.53,50.0,0.0,-0.3749
33.0,1,3,-24.47,-108.66,48.88,50.0,0.0001,-0.2616
33.0,10,3,-14.42,-138.94,13.95,50.0,0.0032,-0.1367
33.0,2,3,-34.85,-143.45,433.86,50.0,0.0,-0.3909
33.0,3,3,-30.29,-121.07,158.16,50.0,0.0,-0.3908
33.0,5,1,-28.7,-150.0,206.08,50.0,0.0,-0.3525
33.0,6,3,-44.33,-130.49,1396.41,50.0,0.0,-0.3909
33.0,7,3,-43.04,-119.0,1396.41,50.0,0.0,-0.3909
33.0,8,3,-30.28,-120.55,158.08,50.0,0.0,-0.3908
33.0,9,1,-32.98,-150.0,551.67,50.0,0.0,-0.3591
34.0,1,3,-27.07,-133.58,73.29,50.0,0.0,-0.3026
34.0,10,3,-23.29,-149.47,32.24,50.0,0.0001,-0.2013
34.0,11,3,-34.71,-132.96,413.16,50.0,0.0,-0.3708
34.0,2,1,-34.23,-143.65,739.76,50.0,0.0,-0.3791
34.0,3,1,-19.9,-118.7,32.31,50.0,0.0005,-0.1927
34.0,5,1,-19.32,-123.23,28.96,50.0,0.0006,-0.183
34.0,6,1,-46.55,-130.74,2777.84,50.0,0.0,-0.3791
34.0,7,1,-31.91,-133.65,436.06,50.0,0.0,-0.3791
34.0,8,1,-37.59,-131.1,1596.08,50.0,0.0,-0.3791
34.0,9,3,-32.93,-137.44,275.1,50.0,0.0,-0.3708
35.0,1,3,-29.21,-111.84,124.03,50.0,0.0,-0.3834
35.0,10,3,-20.93,-135.99,25.69,50.0,0.0003,-0.1927
35.0,11,3,-35.22,-118.21,469.8,50.0,0.0,-0.3875
35.0,2,3,-36.24,-146.54,591.18,50.0,0.0,-0.3875
35.0,3,3,-27.82,-114.14,92.5,50.0,0.0,-0.3615
35.0,5,3,-22.82,-102.64,35.07,50.0,0.0002,-0.2265
35.0,6,3,-36.6,-128.95,642.53,50.0,0.0,-0.3875
35.0,7,3,-35.68,-122.7,521.31,50.0,0.0,-0.3875
35.0,8,1,-36.4,-143.05,1210.97,50.0,0.0,-0.3625
35.0,9,1,-31.21,-148.7,367.28,50.0,0.0,-0.3625
36.0,1,3,-22.13,-109.51,25.31,50.0,0.0002,-0.1819
36.0,10,1,-45.49,-143.9,2777.84,50.0,0.0,-0.3791
36.0,11,1,-27.98,-123.93,179.23,50.0,0.0,-0.369
36.0,2,1,-34.81,-137.07,843.9,50.0,0.0,-0.3791
36.0,3,3,-24.82,-114.26,44.73,50.0,0.0001,-0.2341
36.0,5,3,-12.73,-108.38,5.27,50.0,0.0057,-0.0897
36.0,6,3,-37.78,-136.62,834.2,50.0,0.0,-0.3708
36.0,7,1,-27.46,-128.08,159.68,50.0,0.0,-0.3664
36.0,8,1,-35.34,-134.63,953.4,50.0,0.0,-0.3791
36.0,9,1,-42.21,-134.72,2777.84,50.0,0.0,-0.3791
37.0,1,1,-18.06,-132.33,20.09,50.0,0.0009,-0.1487
37.0,10,3,-28.73,-142.55,109.32,50.0,0.0,-0.3743
37.0,11,1,-30.72,-126.01,329.31,50.0,0.0,-0.3692
37.0,2,3,-39.35,-129.1,1198.66,50.0,0.0,-0.3807
37.0,3,3,-25.89,-116.01,59.51,50.0,0.0,-0.279
37.0,5,3,-19.61,-120.32,18.43,50.0,0.0005,-0.1645
37.0,6,3,-46.1,-126.95,1392.05,50.0,0.0,-0.3807
37.0,7,1,-29.5,-128.19,249.67,50.0,0.0,-0.3667
37.0,9,3,-40.3,-131.89,1392.05,50.0,0.0,-0.3807
38.0,1,1,-18.07,-119.56,20.15,50.0,0.0009,-0.1489
38.0,10,1,-45.52,-146.53,2774.95,50.0,0.0,-0.3692
38.0,11,1,-32.68,-128.27,516.51,50.0,0.0,-0.3692
38.0,2,3,-30.3,-138.19,154.15,50.0,0.0,-0.3807
38.0,3,3,-29.68,-124.07,134.53,50.0,0.0,-0.3791
38.0,5,3,-15.79,-112.39,11.01,50.0,0.002,-0.1288
38.0,6,3,-48.67,-132.88,1392.05,50.0,0.0,-0.3807
38.0,7,3,-19.06,-133.28,16.91,50.0,0.0006,-0.1586
38.0,9,3,-36.96,-128.72,693.69,50.0,0.0,-0.3807
39.0,0,3,2.25,-60.93,7.33,50.0,0.5222,0.1951
39.0,1,1,-11.84,-117.46,5.17,50.0,0.0078,-0.0756
39.0,10,3,-16.79,-139.58,13.88,50.0,0.0014,-0.144
39.0,11,1,-29.73,-141.02,261.56,50.0,0.0,-0.3602
39.0,2,3,-39.2,-126.92,1159.94,50.0,0.0,-0.3846
39.0,3,3,-25.93,-126.57,61.54,50.0,0.0,-0.2871
39.0,5,1,-15.15,-107.44,10.02,50.0,0.0025,-0.107
39.0,6,3,-50.32,-133.87,1393.56,50.0,0.0,-0.3846
39.0,7,3,-12.28,-131.4,9.6,50.0,0.0067,-0.1079
39.0,9,3,-35.32,-133.71,478.84,50.0,0.0,-0.3846
40.0,0,3,-0.29,-58.55,5.11,50.0,0.3098,0.0886
40.0,1,3,-27.35,-118.87,80.34,50.0,0.0,-0.3258
40.0,10,1,-40.06,-139.6,2775.49,50.0,0.0,-0.3714
40.0,11,3,-37.3,-123.88,750.22,50.0,0.0,-0.3785
40.0,12,3,-9.8,-96.71,6.29,50.0,0.0158,-0.0855
40.0,13,1,-50.13,-137.38,2775.49,50.0,0.0,-0.3714
40.0,2,1,-49.14,-148.94,2775.49,50.0,0.0,-0.3714
40.0,3,1,-37.16,-124.47,1445.13,50.0,0.0,-0.3714
40.0,4,3,-4.57,-57.37,5.36,50.0,0.0911,-0.0419
40.0,5,1,-16.51,-133.94,15.32,50.0,0.0015,-0.1332
40.0,6,3,-58.24,-127.63,1391.27,50.0,0.0,-0.3785
40.0,7,1,-30.66,-138.95,325.84,50.0,0.0,-0.3714
40.0,8,3,-20.06,-91.41,19.03,50.0,0.0004,-0.1792
40.0,9,3,-38.92,-136.26,1085.08,50.0,0.0,-0.3785
41.0,1,3,-17.18,-113.14,14.96,50.0,0.0012,-0.1495
41.0,10,3,-29.97,-137.01,145.4,50.0,0.0,-0.3855
41.0,11,3,-22.65,-120.38,33.21,50.0,0.0002,-0.2148
41.0,12,3,-10.1,-93.49,9.14,50.0,0.0143,-0.1032
41.0,13,1,-33.89,-141.5,680.3,50.0,0.0,-0.3643
41.0,2,3,-37.93,-142.54,868.27,50.0,0.0,-0.3857
41.0,3,3,-24.72,-111.42,48.78,50.0,0.0001,-0.2565
41.0,5,1,-15.07,-144.61,10.28,50.0,0.0025,-0.108
41.0,6,3,-42.6,-125.78,1394.02,50.0,0.0,-0.3857
41.0,7,3,-30.2,-126.17,152.77,50.0,0.0,-0.3856
41.0,8,3,-6.33,-106.92,8.32,50.0,0.0514,-0.0501
41.0,9,1,-35.4,-150.0,962.06,50.0,0.0,-0.3643
42.0,1,3,-13.7,-114.33,10.97,50.0,0.0041,-0.1211
42.0,10,3,-13.83,-132.84,11.08,50.0,0.0039,-0.1221
42.0,11,1,-22.86,-134.28,54.93,50.0,0.0002,-0.2382
42.0,12,3,-6.27,-106.34,8.31,50.0,0.0524,-0.0496
42.0,13,3,-38.15,-122.42,912.92,50.0,0.0,-0.3857
42.0,2,1,-56.77,-129.36,2773.96,50.0,0.0,-0.3643
42.0,3,3,-29.1,-115.58,120.29,50.0,0.0,-0.3811
42.0,5,3,-9.33,-105.91,8.91,50.0,0.0186,-0.087
42.0,6,3,-48.88,-129.29,1394.02,50.0,0.0,-0.3857
42.0,7,3,-25.85,-129.17,61.06,50.0,0.0,-0.2868
42.0,8,3,-11.98,-100.19,9.91,50.0,0.0074,-0.1145
42.0,9,1,-24.19,-132.8,74.06,50.0,0.0001,-0.2832
43.0,1,3,-17.07,-105.2,15.19,50.0,0.0013,-0.1537
43.0,10,3,-16.3,-135.55,14.05,50.0,0.0017,-0.1436
43.0,11,3,-23.74,-128.8,40.97,50.0,0.0001,-0.2369
43.0,12,3,-11.31,-96.62,10.01,50.0,0.0094,-0.1133
43.0,13,3,-41.67,-123.26,1394.43,50.0,0.0,-0.3866
43.0,14,3,-6.72,-109.86,8.79,50.0,0.0452,-0.0554
43.0,2,6,-60.0,-150.0,69.39,50.0,0.0,-0.292
43.0,3,1,-26.69,-132.12,129.87,50.0,0.0,-0.34
43.0,5,3,-24.89,-110.92,50.91,50.0,0.0001,-0.2626
43.0,6,3,-44.21,-122.2,1394.44,50.0,0.0,-0.3866
43.0,7,2,-35.02,-150.0,881.73,50.0,0.0,-0.3533
43.0,8,3,-7.37,-90.84,8.89,50.0,0.0363,-0.0777
43.0,9,3,-17.23,-112.36,15.46,50.0,0.0012,-0.1517
44.0,1,6,-42.62,-150.0,69.39,50.0,0.0,-0.292
44.0,10,3,-20.65,-139.41,18.56,50.0,0.0004,-0.1595
44.0,11,1,-29.53,-114.5,253.32,50.0,0.0,-0.3743
44.0,12,1,-20.62,-101.3,36.37,50.0,0.0004,-0.2082
44.0,13,1,-38.49,-129.61,1963.45,50.0,0.0,-0.3766
44.0,14,1,-12.58,-138.79,9.42,50.0,0.006,-0.104
44.0,2,3,-33.23,-130.08,294.1,50.0,0.0,-0.37
44.0,3,1,-22.48,-122.99,53.43,50.0,0.0002,-0.2456
44.0,5,1,-5.72,-124.26,5.44,50.0,0.0629,-0.0338
44.0,6,3,-39.15,-140.28,1142.0,50.0,0.0,-0.37
44.0,7,1,-17.89,-118.36,21.47,50.0,0.0009,-0.158
44.0,8,1,-20.36,-107.64,34.52,50.0,0.0004,-0.1986
