timestamp,vehicle_id,vehicle_type,x,y,speed,acceleration,lane,road,heading,distance,waiting_time,network_vehicle_count,network_avg_speed,network_avg_waiting_time,edge_vehicle_count,edge_queue_length
1.0,0,car,1714.05,8903.67,16.67,0.0,-290639790#19_0,-290639790#19,201.49,0.0,0.0,1,16.67,0.0,1,0
2.0,0,car,1708.42,8888.26,16.41,-0.26,-290639790#19_0,-290639790#19,200.08,16.41,0.0,1,16.41,0.0,1,0
3.0,0,car,1703.14,8873.82,15.38,-1.03,-290639790#19_0,-290639790#19,200.08,31.79,0.0,1,15.38,0.0,1,0
4.0,0,car,1697.74,8858.34,16.4,1.02,:cluster_1607770180_3274194150_1_0,:cluster_1607770180_3274194150_1,198.84,48.19,0.0,2,15.15,0.0,1,0
4.0,1,car,4028.64,7159.85,13.89,0.0,27935333#2_0,27935333#2,270.89,0.0,0.0,2,15.15,0.0,1,0
5.0,0,car,1692.57,8843.17,16.03,-0.37,-290639790#15_0,-290639790#15,198.69,64.21,0.0,2,15.36,0.0,1,0
5.0,1,car,4013.95,7160.08,14.69,0.8,27935333#2_0,27935333#2,270.89,14.69,0.0,2,15.36,0.0,1,0
6.0,0,car,1687.58,8828.11,15.86,-0.16,:cluster_306850817_3274194151_1_0,:cluster_306850817_3274194151_1,197.66,80.08,0.0,2,15.25,0.0,1,0
6.0,1,car,3999.32,7160.31,14.64,-0.05,27935333#2_0,27935333#2,270.89,29.33,0.0,2,15.25,0.0,1,0
7.0,0,car,1683.02,8812.98,15.8,-0.07,:cluster_306850817_3274194151_1_0,:cluster_306850817_3274194151_1,196.78,95.87,0.0,3,12.48,0.0,1,0
7.0,1,car,3984.6,7160.54,14.72,0.08,27935333#2_0,27935333#2,270.89,44.05,0.0,3,12.48,0.0,1,0
7.0,2,car,4427.11,13271.87,6.94,0.0,464465173#1_1,464465173#1,357.02,0.0,0.0,3,12.48,0.0,1,0
8.0,0,car,1678.56,8797.9,15.73,-0.07,:3274194146_1_0,:3274194146_1,195.84,111.6,0.0,3,12.59,0.0,1,0
8.0,1,car,3970.07,7160.77,14.54,-0.18,27935333#2_0,27935333#2,270.89,58.58,0.0,3,12.59,0.0,1,0
8.0,2,car,4426.72,13279.36,7.5,0.56,464465173#1_1,464465173#1,357.02,7.5,0.0,3,12.59,0.0,1,0
9.0,0,car,1674.44,8782.87,15.58,-0.15,-290639790#12_0,-290639790#12,194.69,127.19,0.0,3,12.58,0.0,1,0
9.0,1,car,3955.65,7160.99,14.42,-0.12,27935333#2_0,27935333#2,270.89,73.0,0.0,3,12.58,0.0,1,0
9.0,2,car,4426.32,13287.08,7.73,0.22,464465173#1_1,464465173#1,357.02,15.23,0.0,3,12.58,0.0,1,0
10.0,0,car,1670.24,8767.09,16.34,0.75,:1607671480_1_0,:1607671480_1,195.07,143.52,0.0,4,12.75,0.0,1,0
10.0,1,car,3941.08,7161.22,14.57,0.15,27935333#2_0,27935333#2,270.89,87.57,0.0,4,12.75,0.0,1,0
10.0,2,car,4425.91,13294.91,7.84,0.11,464465173#1_1,464465173#1,357.02,23.06,0.0,4,12.75,0.0,1,0
10.0,3,car,3214.03,7074.03,12.24,0.0,-60194990_0,-60194990,172.3,0.0,0.0,4,12.75,0.0,1,0
11.0,0,car,1666.37,8752.11,15.48,-0.86,:306850816_0_0,:306850816_0,194.34,159.0,0.0,4,12.01,0.0,1,0
11.0,1,car,3927.08,7161.44,14.01,-0.56,27935333#2_0,27935333#2,270.89,101.58,0.0,4,12.01,0.0,1,0
11.0,2,car,4425.55,13301.91,7.01,-0.83,464465173#1_1,464465173#1,357.02,30.07,0.0,4,12.01,0.0,1,0
11.0,3,car,3215.85,7062.92,11.53,-0.71,-60194990_0,-60194990,168.0,11.53,0.0,4,12.01,0.0,1,0
12.0,0,car,1662.58,8736.39,16.18,0.7,:10091779109_1_0,:10091779109_1,193.81,175.17,0.0,4,12.46,0.0,1,0
12.0,1,car,3912.61,7161.66,14.47,0.46,27935333#2_0,27935333#2,270.89,116.05,0.0,4,12.46,0.0,1,0
12.0,2,car,4425.14,13309.74,7.84,0.83,464465173#1_1,464465173#1,357.02,37.91,0.0,4,12.46,0.0,1,0
12.0,3,car,3227.22,7062.78,11.37,-0.17,-60194990_0,-60194990,90.68,22.9,0.0,4,12.46,0.0,1,0
13.0,0,car,1658.46,8720.58,16.33,0.16,-290639790#9_0,-290639790#9,194.89,191.51,0.0,5,12.32,0.0,1,0
13.0,1,car,3897.97,7161.89,14.64,0.17,:306618319_0_0,:306618319_0,270.88,130.69,0.0,5,12.32,0.0,1,0
13.0,2,car,4424.72,13317.72,7.99,0.15,464465173#1_1,464465173#1,357.02,45.91,0.0,5,12.32,0.0,1,0
13.0,3,car,3239.05,7063.68,11.88,0.51,-60194990_0,-60194990,84.25,34.78,0.0,5,12.32,0.0,1,0
13.0,4,motorcycle,1889.32,8573.12,10.76,0.0,-254053180#3_0,-254053180#3,237.93,0.0,0.0,5,12.32,0.0,1,0
14.0,0,car,1654.29,8705.26,15.88,-0.45,:6194045127_1_0,:6194045127_1,195.33,207.39,0.0,5,11.8,0.0,1,0
14.0,1,car,3884.23,7162.09,13.74,-0.9,27935333#3_0,27935333#3,270.84,144.43,0.0,5,11.8,0.0,1,0
14.0,2,car,4424.36,13324.7,6.99,-1.01,464465173#1_1,464465173#1,357.02,52.89,0.0,5,11.8,0.0,1,0
14.0,3,car,3250.61,7065.4,11.7,-0.17,-60194990_0,-60194990,77.51,46.48,0.0,5,11.8,0.0,1,0
14.0,4,motorcycle,1880.26,8567.44,10.69,-0.06,-254053180#3_0,-254053180#3,237.93,10.69,0.0,5,11.8,0.0,1,0
15.0,0,car,1650.04,8690.15,15.69,-0.19,-290639790#8_0,-290639790#8,195.76,223.08,0.0,5,10.93,0.0,1,0
15.0,1,car,3870.05,7162.3,14.18,0.44,:306618203_0_0,:306618203_0,270.88,158.61,0.0,5,10.93,0.0,1,0
15.0,2,car,4424.0,13331.59,6.9,-0.09,464465173#1_1,464465173#1,357.02,59.79,0.0,5,10.93,0.0,1,0
15.0,3,car,3262.04,7067.78,11.69,-0.02,-60194990_0,-60194990,79.43,58.17,0.0,5,10.93,0.0,1,0
15.0,4,motorcycle,1875.01,8564.15,6.19,-4.5,-254053180#3_0,-254053180#3,237.93,16.89,0.0,5,10.93,0.0,1,0
16.0,0,car,1645.84,8675.24,15.48,-0.21,:10091779111_1_0,:10091779111_1,195.71,238.56,0.0,6,10.51,0.0,1,0
16.0,1,car,3855.31,7162.52,14.74,0.56,27935333#4_0,27935333#4,270.86,173.35,0.0,6,10.51,0.0,1,0
16.0,2,car,4423.62,13338.88,7.3,0.4,464465173#1_1,464465173#1,357.02,67.09,0.0,6,10.51,0.0,1,0
16.0,3,car,3273.46,7069.56,11.56,-0.13,-60194990_0,-60194990,81.17,69.73,0.0,6,10.51,0.0,1,0
