timestamp,vehicle_id,vehicle_type,x,y,speed,acceleration,lane,road,network_vehicle_count,neighbor_count,neighbor_distance,relative_speed,in_rsu_range,application_type,application_priority,channel_id,channel_name,channel_utilization,interference_dbm,sinr_db,throughput_mbps,latency_ms,packet_delivery_ratio,policy
1.0,0,car,1714.05,8903.67,16.67,0.0,-290639790#19_0,-290639790#19,1,0,100.0,0.0,0,autonomous_driving,4,2,CH2_5.88GHz_EMERG,1.0,-150.0,30.06,99.885,15.12,0.9999,RANDOM
2.0,0,car,1708.42,8888.26,16.41,-0.26,-290639790#19_0,-290639790#19,1,0,100.0,0.0,0,cooperative_awareness,3,4,CH4_5.92GHz_AUTON,1.0,-150.0,25.83,171.71,15.02,0.9998,RANDOM
3.0,0,car,1703.14,8873.82,15.38,-1.03,-290639790#19_0,-290639790#19,1,0,100.0,0.0,0,cooperative_awareness,3,2,CH2_5.88GHz_EMERG,1.0,-150.0,33.32,110.688,15.04,1.0,RANDOM
4.0,0,car,1697.74,8858.34,16.4,1.02,:cluster_1607770180_3274194150_1_0,:cluster_1607770180_3274194150_1,2,0,2884.09,2.51,0,infotainment,5,3,CH3_5.90GHz_V2I,0.5,-150.0,-56.84,0.003,13867.4,0.0,RANDOM
4.0,1,car,4028.64,7159.85,13.89,0.0,27935333#2_0,27935333#2,2,0,2884.09,2.51,0,safety,1,2,CH2_5.88GHz_EMERG,0.5,-150.0,-40.62,0.001,1667.4,0.0,RANDOM
5.0,0,car,1692.57,8843.17,16.03,-0.37,-290639790#15_0,-290639790#15,2,0,2867.33,1.34,0,cooperative_awareness,3,2,CH2_5.88GHz_EMERG,0.5,-150.0,-52.3,0.001,2776.49,0.0,RANDOM
5.0,1,car,4013.95,7160.08,14.69,0.8,27935333#2_0,27935333#2,2,0,2867.33,1.34,0,cooperative_awareness,3,6,CH6_140GHz_6G_THz,0.5,-150.0,-60.0,0.058,73.08,0.0,RANDOM
6.0,0,car,1687.58,8828.11,15.86,-0.16,:cluster_306850817_3274194151_1_0,:cluster_306850817_3274194151_1,2,0,2850.56,1.22,0,cooperative_awareness,3,5,CH5_28GHz_mmWave,0.5,-150.0,-60.0,0.014,281.03,0.0,RANDOM
6.0,1,car,3999.32,7160.31,14.64,-0.05,27935333#2_0,27935333#2,2,0,2850.56,1.22,0,autonomous_driving,4,1,CH1_5.86GHz_V2V,0.5,-150.0,-56.09,0.001,8321.94,0.0,RANDOM
7.0,0,car,1683.02,8812.98,15.8,-0.07,:cluster_306850817_3274194151_1_0,:cluster_306850817_3274194151_1,3,0,2833.34,1.08,0,autonomous_driving,4,4,CH4_5.92GHz_AUTON,0.333,-150.0,-50.1,0.003,4160.77,0.0,RANDOM
7.0,1,car,3984.6,7160.54,14.72,0.08,27935333#2_0,27935333#2,3,0,2833.34,1.08,0,cooperative_awareness,3,1,CH1_5.86GHz_V2V,0.333,-150.0,-48.59,0.001,2774.4,0.0,RANDOM
7.0,2,car,4427.11,13271.87,6.94,0.0,464465173#1_1,464465173#1,3,0,5235.62,8.86,0,cooperative_awareness,3,6,CH6_140GHz_6G_THz,0.333,-150.0,-60.0,0.058,71.0,0.0,RANDOM
8.0,0,car,1678.56,8797.9,15.73,-0.07,:3274194146_1_0,:3274194146_1,3,0,2816.24,1.19,0,safety,1,4,CH4_5.92GHz_AUTON,0.667,-150.0,-51.57,0.003,838.49,0.0,RANDOM
8.0,1,car,3970.07,7160.77,14.54,-0.18,27935333#2_0,27935333#2,3,0,2816.24,1.19,0,infotainment,5,6,CH6_140GHz_6G_THz,0.333,-150.0,-60.0,0.058,694.86,0.0,RANDOM
8.0,2,car,4426.72,13279.36,7.5,0.56,464465173#1_1,464465173#1,3,0,5256.98,8.23,0,safety,1,4,CH4_5.92GHz_AUTON,0.667,-150.0,-60.0,0.003,838.5,0.0,RANDOM
9.0,0,car,1674.44,8782.87,15.58,-0.15,-290639790#12_0,-290639790#12,3,0,2799.0,1.16,0,safety,1,1,CH1_5.86GHz_V2V,0.333,-150.0,-49.42,0.001,1665.31,0.0,RANDOM
9.0,1,car,3955.65,7160.99,14.42,-0.12,27935333#2_0,27935333#2,3,0,2799.0,1.16,0,autonomous_driving,4,4,CH4_5.92GHz_AUTON,0.333,-150.0,-60.0,0.003,4160.77,0.0,RANDOM
9.0,2,car,4426.32,13287.08,7.73,0.22,464465173#1_1,464465173#1,3,0,5278.33,7.85,0,infotainment,5,6,CH6_140GHz_6G_THz,0.333,-150.0,-60.0,0.058,694.87,0.0,RANDOM
10.0,0,car,1670.24,8767.09,16.34,0.75,:1607671480_1_0,:1607671480_1,4,0,2291.23,4.1,0,cooperative_awareness,3,2,CH2_5.88GHz_EMERG,0.25,-150.0,-38.95,0.002,2179.62,0.0,RANDOM
10.0,1,car,3941.08,7161.22,14.57,0.15,27935333#2_0,27935333#2,4,0,732.26,2.33,0,safety,1,5,CH5_28GHz_mmWave,0.25,-150.0,-51.52,0.014,167.3,0.0,RANDOM
10.0,2,car,4425.91,13294.91,7.84,0.11,464465173#1_1,464465173#1,4,0,5300.46,8.5,0,cooperative_awareness,3,6,CH6_140GHz_6G_THz,0.25,-150.0,-60.0,0.058,70.27,0.0,RANDOM
10.0,3,car,3214.03,7074.03,12.24,0.0,-60194990_0,-60194990,4,0,732.26,2.33,0,safety,1,3,CH3_5.90GHz_V2I,0.25,-150.0,-29.36,0.033,72.79,0.0,RANDOM
11.0,0,car,1666.37,8752.11,15.48,-0.86,:306850816_0_0,:306850816_0,4,0,2292.22,3.95,0,infotainment,5,2,CH2_5.88GHz_EMERG,0.25,-150.0,-53.17,0.001,27728.22,0.0,RANDOM
11.0,1,car,3927.08,7161.44,14.01,-0.56,27935333#2_0,27935333#2,4,0,718.02,2.48,0,cooperative_awareness,3,4,CH4_5.92GHz_AUTON,0.5,-117.87,-29.35,0.033,123.32,0.0,RANDOM
11.0,2,car,4425.55,13301.91,7.01,-0.83,464465173#1_1,464465173#1,4,0,5321.07,8.47,0,safety,1,1,CH1_5.86GHz_V2V,0.25,-150.0,-50.69,0.001,1664.59,0.0,RANDOM
11.0,3,car,3215.85,7062.92,11.53,-0.71,-60194990_0,-60194990,4,0,718.02,2.48,0,safety,1,4,CH4_5.92GHz_AUTON,0.5,-124.76,-33.75,0.012,201.16,0.0,RANDOM
12.0,0,car,1662.58,8736.39,16.18,0.7,:10091779109_1_0,:10091779109_1,4,0,2291.08,4.81,0,cooperative_awareness,3,3,CH3_5.90GHz_V2I,0.5,-135.01,-36.77,0.006,663.1,0.0,RANDOM
12.0,1,car,3912.61,7161.66,14.47,0.46,27935333#2_0,27935333#2,4,0,692.49,3.1,0,cooperative_awareness,3,3,CH3_5.90GHz_V2I,0.5,-148.36,-35.52,0.008,497.64,0.0,RANDOM
12.0,2,car,4425.14,13309.74,7.84,0.83,464465173#1_1,464465173#1,4,0,5342.96,8.34,0,cooperative_awareness,3,6,CH6_140GHz_6G_THz,0.25,-150.0,-60.0,0.058,70.27,0.0,RANDOM
12.0,3,car,3227.22,7062.78,11.37,-0.17,-60194990_0,-60194990,4,0,692.49,3.1,0,cooperative_awareness,3,5,CH5_28GHz_mmWave,0.25,-150.0,-47.8,0.014,278.21,0.0,RANDOM
13.0,0,car,1658.46,8720.58,16.33,0.16,-290639790#9_0,-290639790#9,5,1,273.94,5.57,0,cooperative_awareness,3,1,CH1_5.86GHz_V2V,0.4,-144.83,-2.82,6.068,3.06,0.1564,RANDOM
13.0,1,car,3897.97,7161.89,14.64,0.17,:306618319_0_0,:306618319_0,5,0,666.2,2.76,0,autonomous_driving,4,2,CH2_5.88GHz_EMERG,0.2,-150.0,-25.72,0.039,311.21,0.0,RANDOM
13.0,2,car,4424.72,13317.72,7.99,0.15,464465173#1_1,464465173#1,5,0,5365.25,8.34,0,safety,1,5,CH5_28GHz_mmWave,0.2,-150.0,-60.0,0.014,166.98,0.0,RANDOM
13.0,3,car,3239.05,7063.68,11.88,0.51,-60194990_0,-60194990,5,0,666.2,2.76,0,safety,1,1,CH1_5.86GHz_V2V,0.4,-144.47,-27.6,0.025,98.31,0.0,RANDOM
13.0,4,motorcycle,1889.32,8573.12,10.76,0.0,-254053180#3_0,-254053180#3,5,1,273.94,5.57,0,safety,1,4,CH4_5.92GHz_AUTON,0.2,-150.0,-14.16,1.087,2.81,0.0035,RANDOM
14.0,0,car,1654.29,8705.26,15.88,-0.45,:6194045127_1_0,:6194045127_1,5,1,264.68,5.19,0,cooperative_awareness,3,5,CH5_28GHz_mmWave,0.4,-150.0,-29.35,0.168,26.27,0.0,RANDOM
14.0,1,car,3884.23,7162.09,13.74,-0.9,27935333#3_0,27935333#3,5,0,640.95,2.04,0,cooperative_awareness,3,5,CH5_28GHz_mmWave,0.4,-150.0,-47.9,0.014,279.67,0.0,RANDOM
14.0,2,car,4424.36,13324.7,6.99,-1.01,464465173#1_1,464465173#1,5,0,5386.33,8.89,0,autonomous_driving,4,1,CH1_5.86GHz_V2V,0.2,-150.0,-60.0,0.001,8318.8,0.0,RANDOM
14.0,3,car,3250.61,7065.4,11.7,-0.17,-60194990_0,-60194990,5,0,640.95,2.04,0,cooperative_awareness,3,6,CH6_140GHz_6G_THz,0.4,-150.0,-60.0,0.058,71.72,0.0,RANDOM
14.0,4,motorcycle,1880.26,8567.44,10.69,-0.06,-254053180#3_0,-254053180#3,5,1,264.68,5.19,0,safety,1,6,CH6_140GHz_6G_THz,0.4,-150.0,-42.04,0.058,43.99,0.0,RANDOM
15.0,0,car,1650.04,8690.15,15.69,-0.19,-290639790#8_0,-290639790#8,5,1,257.85,9.5,0,cooperative_awareness,3,2,CH2_5.88GHz_EMERG,0.4,-140.84,-3.92,4.911,3.22,0.1119,RANDOM
15.0,1,car,3870.05,7162.3,14.18,0.44,:306618203_0_0,:306618203_0,5,0,615.31,2.49,0,infotainment,5,5,CH5_28GHz_mmWave,0.2,-150.0,-46.6,0.014,2773.33,0.0,RANDOM
15.0,2,car,4424.0,13331.59,6.9,-0.09,464465173#1_1,464465173#1,5,0,5406.09,0.71,0,safety,1,6,CH6_140GHz_6G_THz,0.4,-150.0,-60.0,0.058,44.01,0.0,RANDOM
15.0,3,car,3262.04,7067.78,11.69,-0.02,-60194990_0,-60194990,5,0,615.31,2.49,0,safety,1,2,CH2_5.88GHz_EMERG,0.4,-144.11,-30.2,0.014,176.72,0.0,RANDOM
15.0,4,motorcycle,1875.01,8564.15,6.19,-4.5,-254053180#3_0,-254053180#3,5,1,257.85,9.5,0,safety,1,6,CH6_140GHz_6G_THz,0.4,-150.0,-48.14,0.058,43.99,0.0,RANDOM
16.0,0,car,1645.84,8675.24,15.48,-0.21,:10091779111_1_0,:10091779111_1,6,1,251.99,10.99,0,cooperative_awareness,3,1,CH1_5.86GHz_V2V,0.333,-139.26,-15.31,0.419,11.22,0.0023,RANDOM
16.0,1,car,3855.31,7162.52,14.74,0.56,27935333#4_0,27935333#4,6,0,534.27,5.25,0,cooperative_awareness,3,6,CH6_140GHz_6G_THz,0.333,-146.87,-54.26,0.058,70.99,0.0,RANDOM
16.0,2,car,4423.62,13338.88,7.3,0.4,464465173#1_1,464465173#1,6,0,5416.0,2.81,0,cooperative_awareness,3,4,CH4_5.92GHz_AUTON,0.167,-150.0,-57.59,0.003,1386.8,0.0,RANDOM
16.0,3,car,3273.46,7069.56,11.56,-0.13,-60194990_0,-60194990,6,0,589.23,3.18,0,autonomous_driving,4,5,CH5_28GHz_mmWave,0.167,-150.0,-37.71,0.024,491.39,0.0,RANDOM
16.0,4,motorcycle,1871.02,8562.13,4.49,-1.7,:3870459131_0_0,:3870459131_0,6,1,251.99,10.99,0,cooperative_awareness,3,6,CH6_140GHz_6G_THz,0.333,-147.6,-42.48,0.058,70.99,0.0,RANDOM
16.0,5,car,4262.66,6816.82,9.49,0.0,-1103093311_0,-1103093311,6,0,534.27,5.25,0,safety,1,1,CH1_5.86GHz_V2V,0.333,-147.56,-18.46,0.204,13.42,0.0006,RANDOM
17.0,0,car,1641.6,8660.19,15.64,0.16,-290639790#7_0,-290639790#7,6,1,244.0,9.77,0,autonomous_driving,4,6,CH6_140GHz_6G_THz,0.167,-150.0,-43.49,0.058,208.37,0.0,RANDOM
17.0,1,car,3841.71,7162.73,13.6,-1.15,27935333#4_0,27935333#4,6,0,552.23,4.43,0,autonomous_driving,4,2,CH2_5.88GHz_EMERG,0.5,-113.7,-33.61,0.006,1912.16,0.0,RANDOM
17.0,2,car,4423.23,13346.31,7.44,0.14,464465173#1_1,464465173#1,6,0,5422.74,1.57,0,cooperative_awareness,3,5,CH5_28GHz_mmWave,0.167,-150.0,-60.0,0.014,277.71,0.0,RANDOM
17.0,3,car,3284.57,7070.45,11.14,-0.41,-60194990_0,-60194990,6,0,564.73,2.46,0,cooperative_awareness,3,3,CH3_5.90GHz_V2I,0.167,-150.0,-19.76,0.303,13.62,0.0005,RANDOM
17.0,4,motorcycle,1866.01,8564.39,5.87,1.37,:3870459131_0_0,:3870459131_0,6,1,244.0,9.77,0,safety,1,2,CH2_5.88GHz_EMERG,0.5,-140.58,-7.08,2.578,4.68,0.0399,RANDOM
17.0,5,car,4271.82,6816.37,9.17,-0.32,-1103093311_0,-1103093311,6,0,552.23,4.43,0,cooperative_awareness,3,2,CH2_5.88GHz_EMERG,0.5,-108.22,-26.08,0.035,116.45,0.0,RANDOM
18.0,0,car,1637.97,8647.3,13.39,-2.25,:10091779113_1_0,:10091779113_1,6,1,238.1,7.7,0,safety,1,1,CH1_5.86GHz_V2V,0.5,-135.23,-9.03,1.699,5.16,0.0206,RANDOM
18.0,1,car,3831.97,7162.88,9.74,-3.86,27935333#4_0,27935333#4,6,0,543.19,2.31,0,autonomous_driving,4,1,CH1_5.86GHz_V2V,0.5,-113.27,-25.85,0.037,324.35,0.0,RANDOM
18.0,2,car,4422.84,13353.76,7.47,0.03,464465173#1_1,464465173#1,6,0,5426.44,1.78,0,safety,1,2,CH2_5.88GHz_EMERG,0.167,-150.0,-60.0,0.001,1664.07,0.0,RANDOM
18.0,3,car,3296.6,7071.07,12.05,0.91,-60194990_0,-60194990,6,0,543.19,2.31,0,cooperative_awareness,3,1,CH1_5.86GHz_V2V,0.5,-112.28,-27.57,0.025,162.22,0.0,RANDOM
18.0,4,motorcycle,1862.87,8569.12,5.69,-0.18,-383732625#0_0,-383732625#0,6,1,238.1,7.7,0,cooperative_awareness,3,6,CH6_140GHz_6G_THz,0.167,-150.0,-48.65,0.058,69.74,0.0,RANDOM
18.0,5,car,4276.49,6816.14,4.67,-4.5,-1103093311_0,-1103093311,6,0,563.76,5.07,0,cooperative_awareness,3,4,CH4_5.92GHz_AUTON,0.167,-150.0,-18.79,0.379,10.98,0.0007,RANDOM
19.0,0,car,1635.57,8638.74,8.89,-4.5,-290639790#6_0,-290639790#6,7,1,232.29,1.7,0,infotainment,5,5,CH5_28GHz_mmWave,0.286,-150.0,-38.13,0.022,1804.7,0.0,RANDOM
19.0,1,car,3826.73,7162.95,5.24,-4.5,27935333#4_0,27935333#4,7,0,525.93,6.99,0,infotainment,5,3,CH3_5.90GHz_V2I,0.143,-150.0,-22.09,0.178,225.22,0.0002,RANDOM
19.0,2,car,4422.43,13361.7,7.95,0.48,464465173#1_1,464465173#1,7,0,5429.74,0.76,0,safety,1,6,CH6_140GHz_6G_THz,0.143,-150.0,-60.0,0.058,41.92,0.0,RANDOM
19.0,3,car,3308.83,7071.37,12.23,0.19,-60194990_0,-60194990,7,0,525.93,6.99,0,safety,1,1,CH1_5.86GHz_V2V,0.143,-150.0,-29.04,0.018,133.6,0.0,RANDOM
19.0,4,motorcycle,1858.99,8575.17,7.19,1.5,-383732625#0_0,-383732625#0,7,1,232.29,1.7,0,safety,1,4,CH4_5.92GHz_AUTON,0.143,-150.0,-12.87,1.451,1.96,0.0055,RANDOM
19.0,5,car,4283.45,6817.47,7.23,2.56,:10094580887_7_0,:10094580887_7,7,0,572.67,1.99,0,infotainment,5,5,CH5_28GHz_mmWave,0.286,-150.0,-37.53,0.025,1570.13,0.0,RANDOM
19.0,6,bus,5648.65,8032.65,10.67,0.0,156678397#2_0,156678397#2,7,0,1827.69,3.44,0,cooperative_awareness,3,2,CH2_5.88GHz_EMERG,0.143,-150.0,-44.02,0.001,2773.04,0.0,RANDOM
20.0,0,car,1634.67,8634.12,4.72,-4.18,:cluster_1607671447_1607671449_2_0,:cluster_1607671447_1607671449_2,7,1,225.08,4.69,0,cooperative_awareness,3,5,CH5_28GHz_mmWave,0.286,-142.49,-30.25,0.136,30.64,0.0,RANDOM
