timestamp,vehicle_id,vehicle_type,x,y,speed,acceleration,lane,road,network_vehicle_count,neighbor_count,neighbor_distance,relative_speed,in_rsu_range,application_type,application_priority,channel_id,channel_name,channel_utilization,interference_dbm,sinr_db,throughput_mbps,latency_ms,packet_delivery_ratio
1.0,0,car,1714.05,8903.67,16.67,0.0,-290639790#19_0,-290639790#19,1,0,100.0,0.0,0,autonomous_driving,4,2,CH2_5.88GHz_EMERG,1.0,-150.0,30.06,99.885,15.12,0.9999
2.0,0,car,1708.42,8888.26,16.41,-0.26,-290639790#19_0,-290639790#19,1,0,100.0,0.0,0,cooperative_awareness,3,4,CH4_5.92GHz_AUTON,1.0,-150.0,25.83,171.71,15.02,0.9998
3.0,0,car,1703.14,8873.82,15.38,-1.03,-290639790#19_0,-290639790#19,1,0,100.0,0.0,0,cooperative_awareness,3,2,CH2_5.88GHz_EMERG,1.0,-150.0,33.32,110.688,15.04,1.0
4.0,0,car,1697.74,8858.34,16.4,1.02,:cluster_1607770180_3274194150_1_0,:cluster_1607770180_3274194150_1,2,0,2884.09,2.51,0,infotainment,5,3,CH3_5.90GHz_V2I,0.5,-150.0,-56.84,0.003,13867.4,0.0
4.0,1,car,4028.64,7159.85,13.89,0.0,27935333#2_0,27935333#2,2,0,2884.09,2.51,0,safety,1,2,CH2_5.88GHz_EMERG,0.5,-150.0,-40.62,0.001,1667.4,0.0
5.0,0,car,1692.57,8843.17,16.03,-0.37,-290639790#15_0,-290639790#15,2,0,2867.33,1.34,0,cooperative_awareness,3,2,CH2_5.88GHz_EMERG,0.5,-150.0,-52.3,0.001,2776.49,0.0
5.0,1,car,4013.95,7160.08,14.69,0.8,27935333#2_0,27935333#2,2,0,2867.33,1.34,0,cooperative_awareness,3,6,CH6_140GHz_6G_THz,0.5,-150.0,-60.0,0.058,73.08,0.0
6.0,0,car,1687.58,8828.11,15.86,-0.16,:cluster_306850817_3274194151_1_0,:cluster_306850817_3274194151_1,2,0,2850.56,1.22,0,cooperative_awareness,3,5,CH5_28GHz_mmWave,0.5,-150.0,-60.0,0.014,281.03,0.0
6.0,1,car,3999.32,7160.31,14.64,-0.05,27935333#2_0,27935333#2,2,0,2850.56,1.22,0,autonomous_driving,4,1,CH1_5.86GHz_V2V,0.5,-150.0,-56.09,0.001,8321.94,0.0
7.0,0,car,1683.02,8812.98,15.8,-0.07,:cluster_306850817_3274194151_1_0,:cluster_306850817_3274194151_1,3,0,2833.34,1.08,0,autonomous_driving,4,4,CH4_5.92GHz_AUTON,0.333,-150.0,-50.1,0.003,4160.77,0.0
7.0,1,car,3984.6,7160.54,14.72,0.08,27935333#2_0,27935333#2,3,0,2833.34,1.08,0,cooperative_awareness,3,1,CH1_5.86GHz_V2V,0.333,-150.0,-48.59,0.001,2774.4,0.0
7.0,2,car,4427.11,13271.87,6.94,0.0,464465173#1_1,464465173#1,3,0,5235.62,8.86,0,cooperative_awareness,3,6,CH6_140GHz_6G_THz,0.333,-150.0,-60.0,0.058,71.0,0.0
8.0,0,car,1678.56,8797.9,15.73,-0.07,:3274194146_1_0,:3274194146_1,3,0,2816.24,1.19,0,safety,1,4,CH4_5.92GHz_AUTON,0.667,-150.0,-51.57,0.003,838.49,0.0
8.0,1,car,3970.07,7160.77,14.54,-0.18,27935333#2_0,27935333#2,3,0,2816.24,1.19,0,infotainment,5,6,CH6_140GHz_6G_THz,0.333,-150.0,-60.0,0.058,694.86,0.0
8.0,2,car,4426.72,13279.36,7.5,0.56,464465173#1_1,464465173#1,3,0,5256.98,8.23,0,safety,1,4,CH4_5.92GHz_AUTON,0.667,-150.0,-60.0,0.003,838.5,0.0
9.0,0,car,1674.44,8782.87,15.58,-0.15,-290639790#12_0,-290639790#12,3,0,2799.0,1.16,0,safety,1,1,CH1_5.86GHz_V2V,0.333,-150.0,-49.42,0.001,1665.31,0.0
9.0,1,car,3955.65,7160.99,14.42,-0.12,27935333#2_0,27935333#2,3,0,2799.0,1.16,0,autonomous_driving,4,4,CH4_5.92GHz_AUTON,0.333,-150.0,-60.0,0.003,4160.77,0.0
9.0,2,car,4426.32,13287.08,7.73,0.22,464465173#1_1,464465173#1,3,0,5278.33,7.85,0,infotainment,5,6,CH6_140GHz_6G_THz,0.333,-150.0,-60.0,0.058,694.87,0.0
10.0,0,car,1670.24,8767.09,16.34,0.75,:1607671480_1_0,:1607671480_1,4,0,2291.23,4.1,0,cooperative_awareness,3,2,CH2_5.88GHz_EMERG,0.25,-150.0,-38.95,0.002,2179.62,0.0
10.0,1,car,3941.08,7161.22,14.57,0.15,27935333#2_0,27935333#2,4,0,732.26,2.33,0,safety,1,5,CH5_28GHz_mmWave,0.25,-150.0,-51.52,0.014,167.3,0.0
10.0,2,car,4425.91,13294.91,7.84,0.11,464465173#1_1,464465173#1,4,0,5300.46,8.5,0,cooperative_awareness,3,6,CH6_140GHz_6G_THz,0.25,-150.0,-60.0,0.058,70.27,0.0
