time,vehicle_1,vehicle_2,vehicle_1_type,vehicle_2_type,vehicle_1_latitude,vehicle_1_longitude,vehicle_2_latitude,vehicle_2_longitude,vehicle_1_speed,vehicle_2_speed,distance_m,relative_speed
8.0,car_001,car_002,car,car,12.917654,77.624402,12.917468,77.623231,16.26,10.78,126.91453063960505,5.480000000000002
9.0,car_001,car_002,car,car,12.917665,77.624547,12.917495,77.623345,15.89,12.67,130.27423261424468,3.2200000000000006
10.0,car_001,car_002,car,car,12.917676,77.624698,12.917526,77.623478,16.4,14.87,132.22497997901579,1.5299999999999994
11.0,car_001,car_002,car,car,12.91768,77.624843,12.917555,77.623602,15.84,13.85,134.5008676517672,1.9900000000000002
12.0,bike_001,car_002,motorcycle,car,12.917491,77.623202,12.917577,77.623728,0.76,13.92,57.008596417683584,13.16
12.0,car_001,car_002,car,car,12.917681,77.624992,12.917577,77.623728,16.2,13.92,136.99355106878298,2.2799999999999994
13.0,bike_001,car_002,motorcycle,car,12.917498,77.623232,12.917599,77.623865,3.36,15.02,68.60538416971207,11.66
13.0,car_001,car_002,car,car,12.917681,77.625145,12.917599,77.623865,16.67,15.02,138.72758125514693,1.6500000000000021
14.0,bike_001,car_002,motorcycle,car,12.917509,77.62328,12.917593,77.624007,5.29,15.07,78.79307578768177,9.780000000000001
14.0,car_001,car_002,car,car,12.917679,77.625288,12.917593,77.624007,15.46,15.07,138.83597337176545,0.39000000000000057
15.0,bike_001,car_002,motorcycle,car,12.917527,77.623354,12.917613,77.624133,8.29,13.87,84.42887197913956,5.58
15.0,car_001,car_002,car,car,12.917678,77.625433,12.917613,77.624133,15.85,13.87,140.89516037752702,1.9800000000000004
16.0,bike_001,car_002,motorcycle,car,12.917551,77.623459,12.917633,77.624261,11.74,14.13,86.92160531965062,2.3900000000000006
16.0,bike_001,car_003,motorcycle,car,12.917551,77.623459,12.917468,77.623231,11.74,8.19,24.711372059322198,3.5500000000000007
16.0,car_001,car_002,car,car,12.917664,77.625577,12.917633,77.624261,15.72,14.13,142.629208468983,1.5899999999999999
16.0,car_002,car_003,car,car,12.917633,77.624261,12.917468,77.623231,14.13,8.19,111.63277635929374,5.940000000000001
17.0,bike_001,car_002,motorcycle,car,12.917581,77.623583,12.917654,77.624394,13.77,14.58,87.89699269339987,0.8100000000000005
17.0,bike_001,car_003,motorcycle,car,12.917581,77.623583,12.91749,77.623324,13.77,10.29,28.071207839237903,3.4800000000000004
17.0,car_001,car_002,car,car,12.917648,77.625719,12.917654,77.624394,15.57,14.58,143.6046224468112,0.9900000000000002
17.0,car_002,car_003,car,car,12.917654,77.624394,12.91749,77.623324,14.58,10.29,115.96797948187314,4.290000000000001
18.0,bike_001,car_002,motorcycle,car,12.917578,77.623733,12.917664,77.624529,15.92,14.79,86.27132583606667,1.1300000000000008
18.0,bike_001,car_003,motorcycle,car,12.917578,77.623733,12.917515,77.62343,15.92,11.89,32.83963791300341,4.029999999999999
18.0,car_001,car_002,car,car,12.917619,77.625869,12.917664,77.624529,16.55,14.79,145.23036645619388,1.7600000000000016
18.0,car_002,car_003,car,car,12.917664,77.624529,12.917515,77.62343,14.79,11.89,119.11093093317653,2.8999999999999986
19.0,bike_001,car_002,motorcycle,car,12.917599,77.623865,12.917674,77.624664,14.47,14.68,86.59642392348778,0.20999999999999908
19.0,bike_001,car_003,motorcycle,car,12.917599,77.623865,12.917544,77.623556,14.47,14.08,33.48986241197831,0.39000000000000057
19.0,car_001,car_002,car,car,12.917587,77.626009,12.917674,77.624664,15.75,14.68,145.7723486533746,1.0700000000000003
19.0,car_002,car_003,car,car,12.917674,77.624664,12.917544,77.623556,14.68,14.08,120.08626343987692,0.5999999999999996
20.0,bike_001,car_002,motorcycle,car,12.917623,77.624014,12.91768,77.624797,16.41,14.46,84.8622749521473,1.9499999999999993
20.0,bike_001,car_003,motorcycle,car,12.917623,77.624014,12.917573,77.623697,16.41,15.66,34.35687274752878,0.75
20.0,car_001,car_002,car,car,12.917549,77.626148,12.91768,77.624797,15.63,14.46,146.4227660969713,1.17
20.0,car_002,car_003,car,car,12.91768,77.624797,12.917573,77.623697,14.46,15.66,119.2191239906903,1.1999999999999993
21.0,bike_001,car_002,motorcycle,car,12.917646,77.624154,12.917681,77.624935,15.42,15.03,84.64546434671685,0.39000000000000057
21.0,bike_001,car_003,motorcycle,car,12.917646,77.624154,12.917596,77.623844,15.42,16.14,33.59820666048015,0.7200000000000006
21.0,car_001,car_002,car,car,12.917509,77.626293,12.917681,77.624935,16.43,15.03,147.18160143998617,1.4000000000000004
21.0,car_002,car_003,car,car,12.917681,77.624935,12.917596,77.623844,15.03,16.14,118.24362481244157,1.1100000000000012
22.0,bike_001,car_002,motorcycle,car,12.917669,77.624301,12.917681,77.625073,16.11,14.97,83.67000891104412,1.1399999999999988
22.0,bike_001,car_003,motorcycle,car,12.917669,77.624301,12.917619,77.623988,16.11,15.79,33.9233447742505,0.3200000000000003
22.0,car_001,car_002,car,car,12.917472,77.62643,12.917681,77.625073,15.41,14.97,147.073412242244,0.4399999999999995
22.0,car_002,car_003,car,car,12.917681,77.625073,12.917619,77.623988,14.97,15.79,117.59328077905201,0.8199999999999985
23.0,bike_001,car_002,motorcycle,car,12.917686,77.624432,12.91768,77.625211,14.45,15.05,84.42866962336613,0.6000000000000014
23.0,bike_001,car_003,motorcycle,car,12.917686,77.624432,12.917641,77.624128,14.45,15.5,32.94789151278469,1.0500000000000007
23.0,car_001,car_002,car,car,12.917432,77.626574,12.91768,77.625211,16.26,15.05,147.72393438697574,1.2100000000000009
23.0,car_002,car_003,car,car,12.91768,77.625211,12.917641,77.624128,15.05,15.5,117.37647699354835,0.4499999999999993
24.0,bike_001,car_002,motorcycle,car,12.917696,77.62457,12.917679,77.625341,14.94,14.18,83.56162716574184,0.7599999999999998
24.0,bike_001,car_003,motorcycle,car,12.917696,77.62457,12.917665,77.624279,14.94,16.51,31.538880068509755,1.570000000000002
24.0,bike_001,car_004,motorcycle,car,12.917696,77.62457,12.917496,77.623225,14.94,9.83,145.77278775114934,5.109999999999999
24.0,car_001,car_002,car,car,12.917393,77.626716,12.917679,77.625341,16.03,14.18,149.0247665546234,1.8500000000000014
24.0,car_002,car_003,car,car,12.917679,77.625341,12.917665,77.624279,14.18,16.51,115.10045280424838,2.330000000000002
24.0,car_003,car_004,car,car,12.917665,77.624279,12.917496,77.623225,16.51,9.83,114.23391557641705,6.6800000000000015
25.0,bike_001,car_002,motorcycle,car,12.917706,77.624707,12.917676,77.625475,14.94,14.49,83.23649735509444,0.4499999999999993
25.0,bike_001,car_003,motorcycle,car,12.917706,77.624707,12.917686,77.624429,14.94,16.53,30.129894975776637,1.5900000000000016
25.0,bike_001,car_004,motorcycle,car,12.917706,77.624707,12.91752,77.623328,14.94,11.5,149.45764635004508,3.4399999999999995
25.0,car_001,car_002,car,car,12.917354,77.626853,12.917676,77.625475,15.59,14.49,149.3501955406916,1.0999999999999996
